soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
3B.wav,1,2,20,236,S,,,,,0,43,43,43,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
3C.wav,1,3,20,237,S,,,,,0,44,44,44,,,4,0.267754967092,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
1A.wav,2,1,20,238,S,,,,,0,45,45,45,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
1B.wav,2,2,20,239,S,,,,,0,46,46,46,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
1C.wav,2,3,20,240,S,,,,,0,47,47,47,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,48,48,48,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,49,49,49,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,50,50,50,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,51,51,51,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,52,52,52,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,53,53,53,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,54,54,54,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,55,55,55,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
silence.wav,0,0,0,0,B,,,,,0,56,56,56,,,None,,bi,5,f004,59.6146753563,2C,auditory,2018_Jan_23_1054,
