soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pi.wav,1,1,1,1,S,0,0,0,0,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
tu.wav,1,2,1,2,S,0,1,1,1,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
bi.wav,1,3,1,3,S,0,2,2,2,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
di.wav,2,1,1,4,S,0,3,3,3,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ba.wav,2,2,1,5,S,0,4,4,4,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
pu.wav,2,3,1,6,S,0,5,5,5,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ta.wav,3,1,1,7,S,0,6,6,6,,,,,3,0.116903622693,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ti.wav,3,2,1,8,S,0,7,7,7,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
du.wav,3,3,1,9,S,0,8,8,8,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
pi.wav,1,1,2,10,S,0,9,9,9,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
tu.wav,1,2,2,11,S,0,10,10,10,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
bi.wav,1,3,2,12,S,0,11,11,11,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
bu.wav,4,1,1,13,S,0,12,12,12,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
pa.wav,4,2,1,14,S,0,13,13,13,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
da.wav,4,3,1,15,S,0,14,14,14,,,,,3,0.0544565115124,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
di.wav,2,1,2,16,S,0,15,15,15,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ba.wav,2,2,2,17,S,0,16,16,16,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
pu.wav,2,3,2,18,S,0,17,17,17,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ta.wav,3,1,2,19,S,0,18,18,18,,,,,3,0.178558557469,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
ti.wav,3,2,2,20,S,0,19,19,19,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
du.wav,3,3,2,21,S,0,20,20,20,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
pi.wav,1,1,3,22,S,0,21,21,21,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
tu.wav,1,2,3,23,S,0,22,22,22,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
bi.wav,1,3,3,24,S,0,23,23,23,,,,,None,,,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1A.wav,0,1,1,1,R,,,,,0,0,0,0,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1B.wav,0,2,1,2,R,,,,,0,1,1,1,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4A.wav,0,3,1,3,R,,,,,0,2,2,2,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1C.wav,0,1,1,4,R,,,,,0,3,3,3,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3C.wav,0,2,1,5,R,,,,,0,4,4,4,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
2C.wav,0,3,1,6,R,,,,,0,5,5,5,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
2A.wav,0,1,1,7,R,,,,,0,6,6,6,,,3,0.00857626981451,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3B.wav,0,2,1,8,R,,,,,0,7,7,7,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
2B.wav,0,3,1,9,R,,,,,0,8,8,8,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1C.wav,0,1,1,10,R,,,,,0,9,9,9,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4C.wav,0,2,1,11,R,,,,,0,10,10,10,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3B.wav,0,3,1,12,R,,,,,0,11,11,11,,,3,0.258607345313,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4B.wav,0,1,1,13,R,,,,,0,12,12,12,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3A.wav,0,2,1,14,R,,,,,0,13,13,13,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3C.wav,0,3,1,15,R,,,,,0,14,14,14,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3B.wav,0,1,1,16,R,,,,,0,15,15,15,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3A.wav,0,2,1,17,R,,,,,0,16,16,16,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4A.wav,0,3,1,18,R,,,,,0,17,17,17,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3A.wav,0,1,1,19,R,,,,,0,18,18,18,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4C.wav,0,2,1,20,R,,,,,0,19,19,19,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
3C.wav,0,3,1,21,R,,,,,0,20,20,20,,,3,0.216961620812,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
4B.wav,0,1,1,22,R,,,,,0,21,21,21,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1A.wav,0,2,1,23,R,,,,,0,22,22,22,,,3,0.350192895683,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
1B.wav,0,3,1,24,R,,,,,0,23,23,23,,,None,,pu,1,010,119.819331925,2C,auditory,2017_Nov_02_0956,
