"","targ","part_id","task"
"154","3A","blast_c_269","tsl"
"155","H","blast_c_403","lsl"
"156","H","blast_c_406","lsl"
"157","do","blast_c_406","ssl"
"158","3A","blast_c_406","tsl"
"159","alien20","blast_c_406","vsl"
"160","E","blast_c_409","lsl"
"161","pi","blast_c_409","ssl"
"162","2A","blast_c_409","tsl"
"163","alien17","blast_c_409","vsl"
"164","A","blast_c_410","lsl"
"165","pi","blast_c_410","ssl"
"166","alien20","blast_c_410","vsl"
"167","E","blast_c_412","lsl"
"168","A","blast_c_418","lsl"
"169","tu","blast_c_420","ssl"
"170","3A","blast_c_420","tsl"
"171","alien17","blast_c_420","vsl"
"172","do","blast_c_421","ssl"
"173","H","blast_c_423","lsl"
"174","ku","blast_c_423","ssl"
"175","alien13","blast_c_423","vsl"
"176","tu","blast_c_426","ssl"
"177","alien24","blast_c_426","vsl"
"178","E","blast_c_427","lsl"
"179","2A","blast_c_427","tsl"
"180","alien24","blast_c_427","vsl"
"181","E","blast_c_428","lsl"
"182","ku","blast_c_428","ssl"
"183","2A","blast_c_428","tsl"
"184","alien17","blast_c_428","vsl"
"185","E","blast_c_429","lsl"
"186","pi","blast_c_429","ssl"
"187","3A","blast_c_429","tsl"
"188","alien13","blast_c_429","vsl"
"189","H","blast_c_438","lsl"
"190","pi","blast_c_438","ssl"
"191","2A","blast_c_438","tsl"
"192","alien13","blast_c_438","vsl"
"193","E","blast_c_439","lsl"
"194","ku","blast_c_439","ssl"
"195","2A","blast_c_439","tsl"
"196","alien17","blast_c_439","vsl"
"197","E","blast_c_440","lsl"
"198","tu","blast_c_440","ssl"
"199","3A","blast_c_440","tsl"
"200","alien17","blast_c_440","vsl"
"201","C","blast_c_444","lsl"
"202","tu","blast_c_444","ssl"
"203","3A","blast_c_444","tsl"
"204","alien24","blast_c_444","vsl"
"205","H","blast_c_449","lsl"
"206","ku","blast_c_449","ssl"
"207","alien17","blast_c_449","vsl"
"208","H","blast_c_450","lsl"
"209","tu","blast_c_450","ssl"
"210","alien17","blast_c_450","vsl"
"211","A","blast_c_451","lsl"
"212","ku","blast_c_451","ssl"
"213","2A","blast_c_451","tsl"
"214","alien13","blast_c_451","vsl"
"215","A","blast_c_454","lsl"
"216","tu","blast_c_454","ssl"
"217","2A","blast_c_454","tsl"
"218","alien13","blast_c_454","vsl"
"219","ku","blast_c_456","ssl"
"220","3A","blast_c_456","tsl"
"221","alien24","blast_c_456","vsl"
"222","E","blast_c_457","lsl"
"223","pi","blast_c_457","ssl"
"224","3A","blast_c_457","tsl"
"225","alien17","blast_c_457","vsl"
"226","2A","blast_c_458","tsl"
"227","C","blast_c_461","lsl"
"228","alien24","blast_c_461","vsl"
"229","A","blast_c_462","lsl"
"230","do","blast_c_462","ssl"
"231","3A","blast_c_462","tsl"
"232","alien24","blast_c_462","vsl"
"233","A","blast_c_467","lsl"
"234","do","blast_c_467","ssl"
"235","3A","blast_c_467","tsl"
"236","alien24","blast_c_467","vsl"
"237","alien24","blast_c_468","vsl"
"238","A","blast_c_469","lsl"
"239","2A","blast_c_469","tsl"
"240","alien17","blast_c_469","vsl"
"241","C","blast_c_470","lsl"
"242","do","blast_c_470","ssl"
"243","3A","blast_c_470","tsl"
"244","alien17","blast_c_470","vsl"
"245","H","blast_c_471","lsl"
"246","tu","blast_c_471","ssl"
"247","3A","blast_c_471","tsl"
"248","alien13","blast_c_471","vsl"
"249","3A","blast_c_474","tsl"
"250","E","blast_c_475","lsl"
"251","do","blast_c_475","ssl"
"252","3A","blast_c_475","tsl"
"253","alien20","blast_c_475","vsl"
"254","H","blast_c_476","lsl"
"255","2A","blast_c_476","tsl"
"256","alien24","blast_c_476","vsl"
"257","E","blast_c_478","lsl"
"258","do","blast_c_478","ssl"
"259","2A","blast_c_478","tsl"
"260","alien17","blast_c_478","vsl"
"261","E","blast_c_479","lsl"
"262","ku","blast_c_479","ssl"
"263","alien17","blast_c_479","vsl"
"264","E","blast_c_481","lsl"
"265","2A","blast_c_481","tsl"
"266","alien17","blast_c_481","vsl"
"267","H","blast_c_483","lsl"
"268","do","blast_c_483","ssl"
"269","2A","blast_c_483","tsl"
"270","alien20","blast_c_483","vsl"
"271","C","blast_c_484","lsl"
"272","ku","blast_c_484","ssl"
"273","3A","blast_c_484","tsl"
"274","alien24","blast_c_484","vsl"
"275","E","blast_c_485","lsl"
"276","do","blast_c_485","ssl"
"277","3A","blast_c_485","tsl"
"278","alien24","blast_c_485","vsl"
"279","H","blast_c_487","lsl"
"280","ku","blast_c_487","ssl"
"281","2A","blast_c_487","tsl"
"282","alien24","blast_c_487","vsl"
"283","H","blast_c_488","lsl"
"284","ku","blast_c_488","ssl"
"285","2A","blast_c_488","tsl"
"286","alien24","blast_c_488","vsl"
"287","C","blast_c_491","lsl"
"288","pi","blast_c_491","ssl"
"289","3A","blast_c_491","tsl"
"290","alien24","blast_c_491","vsl"
"291","pi","blast_c_492","ssl"
"292","2A","blast_c_492","tsl"
"293","alien17","blast_c_492","vsl"
"294","C","blast_c_493","lsl"
"295","tu","blast_c_493","ssl"
"296","2A","blast_c_493","tsl"
"297","alien13","blast_c_493","vsl"
"298","E","blast_c_497","lsl"
"299","do","blast_c_497","ssl"
"300","2A","blast_c_497","tsl"
"301","alien13","blast_c_497","vsl"
"302","C","blast_c_498","lsl"
"303","ku","blast_c_498","ssl"
"304","alien24","blast_c_498","vsl"
"305","H","blast_c_499","lsl"
"306","3A","blast_c_499","tsl"
"307","alien17","blast_c_499","vsl"
"308","C","blast_c_002","lsl"
"309","E","blast_c_009","lsl"
"310","C","blast_c_019","lsl"
"311","A","blast_c_028","lsl"
"312","H","blast_c_034","lsl"
"313","H","blast_c_036","lsl"
"314","H","blast_c_038","lsl"
"315","A","blast_c_045","lsl"
"316","C","blast_c_059","lsl"
"317","C","blast_c_061","lsl"
"318","C","blast_c_071","lsl"
"319","E","blast_c_073","lsl"
"320","C","blast_c_088","lsl"
"321","C","blast_c_092","lsl"
"322","A","blast_c_095","lsl"
"323","H","blast_c_096","lsl"
"324","A","blast_c_097","lsl"
"325","A","blast_c_109","lsl"
"326","C","blast_c_112","lsl"
"327","H","blast_c_118","lsl"
"328","H","blast_c_122","lsl"
"329","C","blast_c_124","lsl"
"330","A","blast_c_147","lsl"
"331","E","blast_c_149","lsl"
"332","C","spoli_c_008","lsl"
"333","pi","spoli_c_008","ssl"
"334","2A","spoli_c_008","tsl"
"335","alien13","spoli_c_008","vsl"
"336","3A","spoli_c_014","tsl"
"337","alien20","spoli_c_014","vsl"
"338","ku","spoli_c_019","ssl"
"339","A","spoli_c_030","lsl"
"340","2A","spoli_c_030","tsl"
"341","A","spoli_c_049","lsl"
"342","do","spoli_c_049","ssl"
"343","2A","spoli_c_049","tsl"
"344","alien13","spoli_c_049","vsl"
"345","do","spoli_c_054","ssl"
"346","alien20","spoli_c_054","vsl"
"347","H","spoli_c_071","lsl"
"348","ku","spoli_c_071","ssl"
"349","3A","spoli_c_071","tsl"
"350","alien20","spoli_c_071","vsl"
"351","H","spoli_c_076","lsl"
"352","do","spoli_c_076","ssl"
"353","3A","spoli_c_076","tsl"
"354","alien20","spoli_c_076","vsl"
"355","E","spoli_c_078","lsl"
"356","do","spoli_c_078","ssl"
"357","3A","spoli_c_078","tsl"
"358","alien24","spoli_c_078","vsl"
"359","A","spoli_c_088","lsl"
"360","do","spoli_c_088","ssl"
"361","2A","spoli_c_088","tsl"
"362","alien20","spoli_c_088","vsl"
"363","A","spoli_c_090","lsl"
"364","alien13","spoli_c_090","vsl"
"365","C","spoli_c_093","lsl"
"366","ku","spoli_c_093","ssl"
"367","2A","spoli_c_093","tsl"
"368","alien13","spoli_c_093","vsl"
"369","H","spoli_c_097","lsl"
"370","do","spoli_c_097","ssl"
"371","2A","spoli_c_097","tsl"
"372","alien13","spoli_c_097","vsl"
"373","C","spoli_c_125","lsl"
"374","tu","spoli_c_125","ssl"
"375","2A","spoli_c_125","tsl"
"376","alien17","spoli_c_125","vsl"
"377","ku","spoli_c_126","ssl"
"378","alien20","spoli_c_126","vsl"
"379","A","spoli_c_342","lsl"
"380","3A","spoli_c_342","tsl"
"381","alien20","spoli_c_342","vsl"
"382","A","spoli_c_343","lsl"
"383","H","spoli_c_346","lsl"
"384","2A","spoli_c_346","tsl"
"385","H","spoli_c_379","lsl"
"386","ku","spoli_c_379","ssl"
"387","3A","spoli_c_379","tsl"
"388","alien20","spoli_c_379","vsl"
"389","A","spoli_c_391","lsl"
"390","ku","spoli_c_391","ssl"
"391","3A","spoli_c_391","tsl"
"392","alien24","spoli_c_391","vsl"
"393","H","spoli_c_396","lsl"
"394","tu","spoli_c_396","ssl"
"395","2A","spoli_c_396","tsl"
"396","alien17","spoli_c_396","vsl"
"397","2A","spoli_c_404","tsl"
