"","id","task","trial","reaction_time","targ_index","group","gender","age_at_web_month","age_at_web_year","hit_trial_n","sl_aprime","domain","modality","scaled_rt","mean_rt","rt_slope_raw","initial_rt"
"154","blast_a_002","tsl",415,-47.75510204081,33,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-1.71157128332376,268.741,1.448,268.741
"155","blast_a_002","tsl",427,484.489795918346,34,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",1.16674337956695,268.741,1.448,268.741
"156","blast_a_002","tsl",304,478.68480725624,23,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",1.13535071794047,268.741,1.448,268.741
"157","blast_a_002","tsl",313,213.469387755111,24,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.298901510125773,268.741,1.448,268.741
"158","blast_a_002","tsl",325,259.909297052161,25,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.0477602171128128,268.741,1.448,268.741
"159","blast_a_002","tsl",43,-400.045351473917,2,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-3.61671343578935,268.741,1.448,268.741
"160","blast_a_002","tsl",61,288.934240362821,3,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.109203091020308,268.741,1.448,268.741
"161","blast_a_002","tsl",70,467.074829931984,4,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",1.07256539468727,268.741,1.448,268.741
"162","blast_a_002","tsl",79,213.469387755111,5,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.298901510125773,268.741,1.448,268.741
"163","blast_a_002","tsl",88,288.934240362821,6,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",0.109203091020308,268.741,1.448,268.741
"164","blast_a_002","tsl",103,97.3696145124734,7,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.926754742658242,268.741,1.448,268.741
"165","blast_a_002","tsl",112,213.469387755111,8,"adult","F",224,18.6666666666667,38,0.903180789216443,"nonling","auditory",-0.298901510125773,268.741,1.448,268.741
