soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pa.wav,0,3,1,234,R,0,41,41,41,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,1,1,235,R,0,42,42,42,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
da.wav,0,2,1,236,R,0,43,43,43,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,3,1,237,R,0,44,44,44,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,1,1,238,R,0,45,45,45,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bu.wav,0,2,1,239,R,0,46,46,46,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,3,1,240,R,0,47,47,47,,,,,4,0.404522895813,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,1,1,241,R,0,48,48,48,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,2,1,242,R,0,49,49,49,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,3,1,243,R,0,50,50,50,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,1,1,244,R,0,51,51,51,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,2,1,245,R,0,52,52,52,,,,,4,0.104609966278,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,3,1,246,R,0,53,53,53,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,1,1,247,R,0,54,54,54,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,2,1,248,R,0,55,55,55,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,3,1,249,R,0,56,56,56,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,1,1,250,R,0,57,57,57,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,2,1,251,R,0,58,58,58,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,3,1,252,R,0,59,59,59,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
da.wav,0,1,1,253,R,0,60,60,60,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,2,1,254,R,0,61,61,61,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,3,1,255,R,0,62,62,62,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ti.wav,0,1,1,256,R,0,63,63,63,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,2,1,257,R,0,64,64,64,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,3,1,258,R,0,65,65,65,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,1,1,259,R,0,66,66,66,,,,,4,0.106123209,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
du.wav,0,2,1,260,R,0,67,67,67,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
di.wav,0,3,1,261,R,0,68,68,68,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bu.wav,0,1,1,262,R,0,69,69,69,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pa.wav,0,2,1,263,R,0,70,70,70,,,,,4,0.137531995773,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,3,1,264,R,0,71,71,71,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pi.wav,0,1,1,265,R,0,72,72,72,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,2,1,266,R,0,73,73,73,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
da.wav,0,3,1,267,R,0,74,74,74,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ta.wav,0,1,1,268,R,0,75,75,75,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,2,1,269,R,0,76,76,76,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
tu.wav,0,3,1,270,R,0,77,77,77,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
ba.wav,0,1,1,271,R,0,78,78,78,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,2,1,272,R,0,79,79,79,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pa.wav,0,3,1,273,R,0,80,80,80,,,,,4,0.00527215003967,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
bi.wav,0,1,1,274,R,0,81,81,81,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
pu.wav,0,2,1,275,R,0,82,82,82,,,,,None,,,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
