soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
tu.wav,0,1,1,481,R,0,0,0,0,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
bi.wav,0,2,1,482,R,0,1,1,1,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ta.wav,0,3,1,483,R,0,2,2,2,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ti.wav,0,1,1,484,R,0,3,3,3,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
pa.wav,0,2,1,485,R,0,4,4,4,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
du.wav,0,3,1,486,R,0,5,5,5,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
du.wav,0,1,1,487,R,0,6,6,6,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
pi.wav,0,2,1,488,R,0,7,7,7,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
bu.wav,0,3,1,489,R,0,8,8,8,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ba.wav,0,1,1,490,R,0,9,9,9,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ti.wav,0,2,1,491,R,0,10,10,10,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
da.wav,0,3,1,492,R,0,11,11,11,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
pu.wav,0,1,1,493,R,0,12,12,12,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
pa.wav,0,2,1,494,R,0,13,13,13,,,,,3,0.0920086960614,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ba.wav,0,3,1,495,R,0,14,14,14,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
pi.wav,0,1,1,496,R,0,15,15,15,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
tu.wav,0,2,1,497,R,0,16,16,16,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
ta.wav,0,3,1,498,R,0,17,17,17,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
di.wav,0,1,1,499,R,0,18,18,18,,,,,None,,,,pu,4,blast_a_018,119.983694015,1C,auditory,2018_Jul_26_1450,
