soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
2B.wav,0,1,1,97,R,0,0,0,0,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
3C.wav,0,2,1,98,R,0,1,1,1,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
4A.wav,0,3,1,99,R,0,2,2,2,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
2B.wav,0,1,1,100,R,0,3,3,3,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
4B.wav,0,2,1,101,R,0,4,4,4,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
4A.wav,0,3,1,102,R,0,5,5,5,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
1C.wav,0,1,1,103,R,0,6,6,6,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
3B.wav,0,2,1,104,R,0,7,7,7,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
2A.wav,0,3,1,105,R,0,8,8,8,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
3A.wav,0,1,1,106,R,0,9,9,9,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
2B.wav,0,2,1,107,R,0,10,10,10,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
1C.wav,0,3,1,108,R,0,11,11,11,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
2A.wav,0,1,1,109,R,0,12,12,12,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
4C.wav,0,2,1,110,R,0,13,13,13,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
2C.wav,0,3,1,111,R,0,14,14,14,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
4C.wav,0,1,1,112,R,0,15,15,15,,,,,None,,,,da,1,blast_a_029,100.009690675,2C,auditory,2018_Nov_19_1112,
