word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,2,Alien15.png,1,183,R,0,38,38,38,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien14.png,1,184,R,0,39,39,39,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien22.png,1,185,R,0,40,40,40,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,2,Alien20.png,1,186,R,0,41,41,41,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien21.png,1,187,R,0,42,42,42,,,,,,,,,3,0.66698678141,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien23.png,1,188,R,0,43,43,43,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien15.png,1,189,R,0,44,44,44,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien21.png,1,190,R,0,45,45,45,,,,,,,,,3,0.766984523226,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,1,Alien22.png,1,191,R,0,46,46,46,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,3,Alien24.png,1,192,R,0,47,47,47,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,48,48,48,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,49,49,49,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,50,50,50,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,51,51,51,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,52,52,52,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,53,53,53,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,54,54,54,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
0,0,blank.png,0,0,B,0,55,55,55,,,,,,,,,None,,,,,2,21,blast_a_017,B,120.025674889,visual,2018_Jul_26_1104,
