word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,end_fam_block_key_resp.keys,end_fam_block_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
1,1,Alien4.bmp,33,379,S,,,,,,,,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
1,2,Alien5.bmp,33,380,S,,,,,,,,0,1,1,1,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
1,3,Alien6.bmp,33,381,S,,,,,,,,0,2,2,2,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
1,1,Alien4.bmp,34,385,S,,,,,,,,0,3,3,3,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
1,2,Alien5.bmp,34,386,S,,,,,,,,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
1,3,Alien6.bmp,34,387,S,,,,,,,,0,5,5,5,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
4,1,Alien7.bmp,33,391,S,,,,,,,,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
4,2,Alien8.bmp,33,392,S,,,,,,,,0,7,7,7,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
4,3,Alien9.bmp,33,393,S,,,,,,,,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
3,1,Alien10.bmp,33,394,S,,,,,,,,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,,,6,12,f004,G,None,visual,2018_Jan_18_1504,
