"","key_resp.corr","Run","PartID","expName","modality","task"
"697",1,4,"f006","auditory","linguistic","tsl"
"698",1,4,"f006","auditory","linguistic","tsl"
"699",1,4,"f006","auditory","linguistic","tsl"
"700",1,4,"f006","auditory","linguistic","tsl"
"701",1,4,"f006","auditory","linguistic","tsl"
"702",0,4,"f006","auditory","linguistic","tsl"
"703",1,4,"f006","auditory","linguistic","tsl"
"704",0,4,"f006","auditory","linguistic","tsl"
"705",1,4,"f006","auditory","linguistic","tsl"
"706",0,4,"f006","auditory","linguistic","tsl"
"707",1,4,"f006","auditory","linguistic","tsl"
"708",1,4,"f006","auditory","linguistic","tsl"
"709",1,4,"f006","auditory","linguistic","tsl"
"710",1,4,"f006","auditory","linguistic","tsl"
"711",0,4,"f006","auditory","linguistic","tsl"
"712",0,4,"f006","auditory","linguistic","tsl"
