soundFile1,soundFile2,soundFile3,soundFile4,soundFile5,soundFile6,corrAns
1A.wav,1B.wav,1C.wav,1A.wav,2B.wav,3C.wav,left
1A.wav,1B.wav,1C.wav,2A.wav,3B.wav,4C.wav,left
1A.wav,1B.wav,1C.wav,3A.wav,4B.wav,1C.wav,left
1A.wav,1B.wav,1C.wav,4A.wav,1B.wav,2C.wav,left
2A.wav,2B.wav,2C.wav,1A.wav,2B.wav,3C.wav,left
2A.wav,2B.wav,2C.wav,2A.wav,3B.wav,4C.wav,left
2A.wav,2B.wav,2C.wav,3A.wav,4B.wav,1C.wav,left
2A.wav,2B.wav,2C.wav,4A.wav,1B.wav,2C.wav,left
3A.wav,3B.wav,3C.wav,1A.wav,2B.wav,3C.wav,left
3A.wav,3B.wav,3C.wav,2A.wav,3B.wav,4C.wav,left
3A.wav,3B.wav,3C.wav,3A.wav,4B.wav,1C.wav,left
3A.wav,3B.wav,3C.wav,4A.wav,1B.wav,2C.wav,left
4A.wav,4B.wav,4C.wav,1A.wav,2B.wav,3C.wav,left
4A.wav,4B.wav,4C.wav,2A.wav,3B.wav,4C.wav,left
4A.wav,4B.wav,4C.wav,3A.wav,4B.wav,1C.wav,left
4A.wav,4B.wav,4C.wav,4A.wav,1B.wav,2C.wav,left
1A.wav,2B.wav,3C.wav,1A.wav,1B.wav,1C.wav,right
2A.wav,3B.wav,4C.wav,1A.wav,1B.wav,1C.wav,right
3A.wav,4B.wav,1C.wav,1A.wav,1B.wav,1C.wav,right
4A.wav,1B.wav,2C.wav,1A.wav,1B.wav,1C.wav,right
1A.wav,2B.wav,3C.wav,2A.wav,2B.wav,2C.wav,right
2A.wav,3B.wav,4C.wav,2A.wav,2B.wav,2C.wav,right
3A.wav,4B.wav,1C.wav,2A.wav,2B.wav,2C.wav,right
4A.wav,1B.wav,2C.wav,2A.wav,2B.wav,2C.wav,right
1A.wav,2B.wav,3C.wav,3A.wav,3B.wav,3C.wav,right
2A.wav,3B.wav,4C.wav,3A.wav,3B.wav,3C.wav,right
3A.wav,4B.wav,1C.wav,3A.wav,3B.wav,3C.wav,right
4A.wav,1B.wav,2C.wav,3A.wav,3B.wav,3C.wav,right
1A.wav,2B.wav,3C.wav,4A.wav,4B.wav,4C.wav,right
2A.wav,3B.wav,4C.wav,4A.wav,4B.wav,4C.wav,right
3A.wav,4B.wav,1C.wav,4A.wav,4B.wav,4C.wav,right
4A.wav,1B.wav,2C.wav,4A.wav,4B.wav,4C.wav,right
