"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","pi.wav",1,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"2","tu.wav",2,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"3","bi.wav",3,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"4","di.wav",4,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"5","ba.wav",5,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"6","pu.wav",6,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"7","ta.wav",7,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"8","ti.wav",8,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"9","du.wav",9,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"10","pi.wav",10,"S",NA,"",0.168264956446,"4","du",1,15,"2C","auditory"
"11","tu.wav",11,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"12","bi.wav",12,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"13","bu.wav",13,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"14","pa.wav",14,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"15","da.wav",15,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"16","di.wav",16,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"17","ba.wav",17,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"18","pu.wav",18,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"19","ta.wav",19,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"20","ti.wav",20,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"21","du.wav",21,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"22","pi.wav",22,"S",NA,"",0.118895541178,"4","du",1,15,"2C","auditory"
"23","tu.wav",23,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"24","bi.wav",24,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"25","1A.wav",1,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"26","1B.wav",2,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"27","4A.wav",3,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"28","1C.wav",4,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"29","3C.wav",5,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"30","2C.wav",6,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"31","2A.wav",7,"R",0.133728355402,"4",NA,"","du",1,15,"2C","auditory"
"32","3B.wav",8,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"33","2B.wav",9,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"34","1C.wav",10,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"35","4C.wav",11,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"36","3B.wav",12,"R",0.167928546434,"4",NA,"","du",1,15,"2C","auditory"
"37","4B.wav",13,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"38","3A.wav",14,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"39","3C.wav",15,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"40","3B.wav",16,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"41","3A.wav",17,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"42","4A.wav",18,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"43","3A.wav",19,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"44","4C.wav",20,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"45","3C.wav",21,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"46","4B.wav",22,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"47","1A.wav",23,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"48","1B.wav",24,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"49","bu.wav",25,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"50","pa.wav",26,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"51","da.wav",27,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"52","di.wav",28,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"53","ba.wav",29,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"54","pu.wav",30,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"55","bu.wav",31,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"56","pa.wav",32,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"57","da.wav",33,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"58","ta.wav",34,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"59","ti.wav",35,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"60","du.wav",36,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"61","pi.wav",37,"S",NA,"",0.200769148301,"4","du",1,15,"2C","auditory"
"62","tu.wav",38,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"63","bi.wav",39,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"64","ta.wav",40,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"65","ti.wav",41,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"66","du.wav",42,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"67","pi.wav",43,"S",NA,"",0.300854851026,"4","du",1,15,"2C","auditory"
"68","tu.wav",44,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"69","bi.wav",45,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"70","bu.wav",46,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"71","pa.wav",47,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"72","da.wav",48,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"73","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"74","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"75","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"76","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"77","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"78","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"79","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"80","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"81","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"82","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"83","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"84","silence.wav",0,"B",NA,"",NA,"None","du",1,15,"2C","auditory"
"85","di.wav",49,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"86","ba.wav",50,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"87","pu.wav",51,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"88","ta.wav",52,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"89","ti.wav",53,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"90","du.wav",54,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"91","pi.wav",55,"S",NA,"",0.201082994463,"4","du",1,15,"2C","auditory"
"92","tu.wav",56,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"93","bi.wav",57,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"94","bu.wav",58,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"95","pa.wav",59,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"96","da.wav",60,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"97","di.wav",61,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"98","ba.wav",62,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"99","pu.wav",63,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"100","bu.wav",64,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"101","pa.wav",65,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"102","da.wav",66,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"103","pi.wav",67,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"104","tu.wav",68,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"105","bi.wav",69,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"106","ta.wav",70,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"107","ti.wav",71,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"108","du.wav",72,"S",NA,"",NA,"None","du",1,15,"2C","auditory"
"109","3B.wav",25,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"110","4C.wav",26,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"111","3B.wav",27,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"112","2B.wav",28,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"113","4A.wav",29,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
"114","1C.wav",30,"R",NA,"None",NA,"","du",1,15,"2C","auditory"
