"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","3A.wav",379,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"2","3B.wav",380,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"3","3C.wav",381,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"4","3A.wav",385,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"5","3B.wav",386,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"6","3C.wav",387,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"7","2A.wav",391,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"8","2B.wav",392,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"9","2C.wav",393,"S",NA,"",0.150234438712,"4","da",6,5,"1C","auditory"
"10","4A.wav",394,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"11","4B.wav",395,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"12","4C.wav",396,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"13","1A.wav",397,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"14","1B.wav",398,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"15","1C.wav",399,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"16","3A.wav",400,"S",NA,"",0.148925427813,"4","da",6,5,"1C","auditory"
"17","3B.wav",401,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"18","3C.wav",402,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"19","4A.wav",403,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"20","4B.wav",404,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"21","4C.wav",405,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"22","2A.wav",406,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"23","2B.wav",407,"S",NA,"",NA,"None","da",6,5,"1C","auditory"
"24","2C.wav",408,"S",NA,"",0.116897900356,"4","da",6,5,"1C","auditory"
"25","pa.wav",385,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"26","pi.wav",386,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"27","da.wav",387,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"28","ta.wav",388,"R",0.233578201616,"4",NA,"","da",6,5,"1C","auditory"
"29","bi.wav",389,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"30","ta.wav",390,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"31","du.wav",391,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"32","tu.wav",392,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"33","tu.wav",393,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"34","bu.wav",394,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"35","ti.wav",395,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"36","ba.wav",396,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
"37","bi.wav",397,"R",NA,"None",NA,"","da",6,5,"1C","auditory"
