"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"160","2C.wav",52,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"161","3B.wav",53,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"162","3B.wav",54,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"163","3A.wav",55,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"164","1C.wav",56,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"165","1C.wav",57,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"166","4B.wav",58,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"167","4C.wav",59,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"168","1A.wav",60,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"169","4B.wav",61,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"170","4A.wav",62,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"171","3C.wav",63,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"172","2C.wav",64,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"173","4A.wav",65,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"174","1A.wav",66,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"175","2B.wav",67,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"176","2A.wav",68,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"177","2A.wav",69,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"178","4C.wav",70,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"179","1B.wav",71,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
"180","3A.wav",72,"R",NA,"None",NA,"","bi",1,2,"1C","auditory"
