subject,Domain,Global,Local,Early,Late
blast_a_018,Syllable,Low,Long,3.082,1.285
blast_a_019,Syllable,Low,Long,0.154,-1.739
blast_a_020,Syllable,Low,Long,0.568,-0.457
blast_a_021,Syllable,Low,Long,2.857,-0.335
blast_a_022,Syllable,Low,Long,1.604,-1.304
blast_a_023,Syllable,Low,Long,-0.297,-1.97
blast_a_024,Syllable,Low,Long,0.659,-0.019
blast_a_025,Syllable,Low,Long,-1.07,-3.973
blast_a_026,Syllable,Low,Long,0.379,-0.428
blast_a_027,Syllable,Low,Long,0.114,-0.827
blast_a_028,Syllable,Low,Long,-3.473,-4.199
blast_a_029,Syllable,Low,Long,-0.187,-2.808
blast_a_030,Syllable,Low,Long,-1.079,-3.387
blast_a_031,Syllable,Low,Long,1.912,1.832
blast_a_036,Syllable,Low,Long,-0.36,-0.997
blast_a_037,Syllable,Low,Long,0.41,0.049
blast_a_038,Syllable,Low,Long,2.311,-0.585
blast_a_039,Syllable,Low,Long,0,0
blast_a_041,Syllable,Low,Long,-0.639,-1.81
blast_a_042,Syllable,Low,Long,0.954,-2.646
blast_a_043,Syllable,Low,Long,0.62,0.102
blast_a_044,Syllable,Low,Long,-0.68,-0.915
blast_a_045,Syllable,Low,Long,0.366,0.242
blast_a_046,Syllable,Low,Long,0.387,-0.469
blast_a_047,Syllable,Low,Long,4.029,-2.151
blast_a_048,Syllable,Low,Long,0.071,-1.283
blast_a_049,Syllable,Low,Long,0.724,0.47
blast_a_050,Syllable,Low,Long,0.37,0.198
blast_a_051,Syllable,Low,Long,-0.941,-0.117
blast_a_001,Syllable,Low,Short,0.785,-0.558
blast_a_002,Syllable,Low,Short,0.457,-0.792
blast_a_003,Syllable,Low,Short,-1.189,-0.364
blast_a_004,Syllable,Low,Short,0.613,-0.58
blast_a_005,Syllable,Low,Short,1.135,2.338
blast_a_006,Syllable,Low,Short,0.867,-3.709
blast_a_007,Syllable,Low,Short,0.165,-2.083
blast_a_008,Syllable,Low,Short,0.661,0.447
blast_a_009,Syllable,Low,Short,1.455,0.676
blast_a_010,Syllable,Low,Short,-0.312,-2.263
blast_a_011,Syllable,Low,Short,-0.141,-4.363
blast_a_012,Syllable,Low,Short,2.136,-0.932
blast_a_013,Syllable,Low,Short,2.117,-3.309
blast_a_014,Syllable,Low,Short,0.84,-2.545
blast_a_015,Syllable,Low,Short,0.526,-0.827
blast_a_016,Syllable,Low,Short,0.472,-3.427
blast_a_018,Syllable,Low,Short,-0.983,-4.151
blast_a_019,Syllable,Low,Short,-1.751,-2.881
blast_a_020,Syllable,Low,Short,0.064,-1.733
blast_a_021,Syllable,Low,Short,-0.124,-2.51
blast_a_022,Syllable,Low,Short,0.698,-0.508
blast_a_023,Syllable,Low,Short,1.465,0.508
blast_a_024,Syllable,Low,Short,4.254,1.533
blast_a_025,Syllable,Low,Short,-0.57,-1.627
blast_a_026,Syllable,Low,Short,0.77,0.212
blast_a_027,Syllable,Low,Short,0.957,0.175
blast_a_028,Syllable,Low,Short,-0.439,-3.651
blast_a_029,Syllable,Low,Short,-1.216,-3.092
blast_a_030,Syllable,Low,Short,1.353,-5.337
blast_a_031,Syllable,Low,Short,1.19,2.881
blast_a_036,Syllable,Low,Short,0.77,-3.629
blast_a_037,Syllable,Low,Short,0.097,-1.056
blast_a_038,Syllable,Low,Short,-0.122,-1.881
blast_a_039,Syllable,Low,Short,0,0
blast_a_041,Syllable,Low,Short,0.558,-2.067
blast_a_042,Syllable,Low,Short,-0.538,-1.294
blast_a_043,Syllable,Low,Short,0.982,1.51
blast_a_044,Syllable,Low,Short,0.633,-4.093
blast_a_045,Syllable,Low,Short,-0.686,-3.081
blast_a_046,Syllable,Low,Short,0.727,0.585
blast_a_047,Syllable,Low,Short,2.817,-2.172
blast_a_048,Syllable,Low,Short,-0.616,-1.137
blast_a_049,Syllable,Low,Short,0.734,-0.153
blast_a_050,Syllable,Low,Short,0.857,-0.782
blast_a_051,Syllable,Low,Short,-1.889,-1.612
blast_a_001,Voice,High,Long,-0.564,-1.534
blast_a_002,Voice,High,Long,1.138,0.807
