subject,Group,Domain,Global,Local,Early,Late
blast_c_009,Child,Voice,High,Long,3.252666667,-0.77325
blast_c_059,Child,Voice,High,Long,3.517666667,-2.2395
blast_c_072,Child,Voice,High,Long,1.386666667,-0.94375
blast_c_123,Child,Voice,High,Long,0.099333333,-0.316
blast_c_126,Child,Voice,High,Long,0,0
blast_c_164,Child,Voice,High,Long,3.496,-3.1595
blast_c_165,Child,Voice,High,Long,3.682666667,-1.82875
blast_c_168,Child,Voice,High,Long,0.496,0.62275
blast_c_206,Child,Voice,High,Long,1.558666667,-0.57875
blast_c_207,Child,Voice,High,Long,5.987,-2.22325
blast_c_209,Child,Voice,High,Long,5.875333333,-5.51
blast_c_210,Child,Voice,High,Long,-0.157,1.133
blast_c_213,Child,Voice,High,Long,1.943,-1.57325
blast_c_216,Child,Voice,High,Long,0.452666667,-0.729
blast_c_224,Child,Voice,High,Long,3.937333333,-3.337
blast_c_231,Child,Voice,High,Long,2.550333333,-2.95125
blast_c_232,Child,Voice,High,Long,0.437,0.21625
blast_c_233,Child,Voice,High,Long,0,0
blast_c_254,Child,Voice,High,Long,2.700666667,0.1155
blast_c_265,Child,Voice,High,Long,0.651333333,-0.20775
blast_c_268,Child,Voice,High,Long,2.784,-4.193
blast_c_269,Child,Voice,High,Long,-2.193,3.891
blast_c_009,Child,Voice,High,Short,0.730666667,-1.01575
blast_c_059,Child,Voice,High,Short,2.532,-0.78275
blast_c_072,Child,Voice,High,Short,0.528333333,-0.47925
blast_c_123,Child,Voice,High,Short,-2.072333333,0.01125
blast_c_126,Child,Voice,High,Short,0,0
blast_c_164,Child,Voice,High,Short,3.653333333,-2.8195
blast_c_165,Child,Voice,High,Short,4.060333333,-2.6225
blast_c_168,Child,Voice,High,Short,1.242,-0.4985
blast_c_206,Child,Voice,High,Short,1.706,-1.569
blast_c_207,Child,Voice,High,Short,4.061666667,-1.976
blast_c_209,Child,Voice,High,Short,2.756,-5.282
blast_c_210,Child,Voice,High,Short,-2.027333333,-0.79775
blast_c_213,Child,Voice,High,Short,0.156,-0.897
blast_c_216,Child,Voice,High,Short,-0.496,-0.0535
blast_c_224,Child,Voice,High,Short,0.380666667,-0.40175
blast_c_231,Child,Voice,High,Short,0.697666667,-2.131
blast_c_232,Child,Voice,High,Short,-0.207333333,0.147
blast_c_233,Child,Voice,High,Short,0,0
blast_c_254,Child,Voice,High,Short,2.168333333,-0.2375
blast_c_265,Child,Voice,High,Short,1.195666667,-0.151
blast_c_268,Child,Voice,High,Short,5.137666667,-2.68425
blast_c_269,Child,Voice,High,Short,-1.738,0.41775
blast_c_009,Child,Voice,Low,Long,2.775666667,-4.3355
blast_c_059,Child,Voice,Low,Long,1.168666667,-0.1635
blast_c_072,Child,Voice,Low,Long,0.655,0.005
blast_c_123,Child,Voice,Low,Long,0.737,-1.111
blast_c_126,Child,Voice,Low,Long,3.695333333,-2.015
blast_c_164,Child,Voice,Low,Long,7.095,-6.1895
blast_c_165,Child,Voice,Low,Long,7.61,-2.5345
blast_c_168,Child,Voice,Low,Long,4.037333333,-2.20725
blast_c_206,Child,Voice,Low,Long,4.033,-2.76275
blast_c_207,Child,Voice,Low,Long,1.384,-1.79175
blast_c_209,Child,Voice,Low,Long,7.994333333,-1.94925
blast_c_210,Child,Voice,Low,Long,-0.620333333,-0.01225
blast_c_213,Child,Voice,Low,Long,2.595,-3.449
blast_c_216,Child,Voice,Low,Long,1.969,-0.92425
blast_c_224,Child,Voice,Low,Long,1.898333333,-0.7925
blast_c_231,Child,Voice,Low,Long,3.850666667,-3.2485
blast_c_232,Child,Voice,Low,Long,0.757666667,-1.1355
blast_c_233,Child,Voice,Low,Long,3.957333333,-2.686
blast_c_254,Child,Voice,Low,Long,0.156,-3.18025
blast_c_265,Child,Voice,Low,Long,2.489333333,-1.413
blast_c_268,Child,Voice,Low,Long,2.410666667,-3.258
blast_c_269,Child,Voice,Low,Long,0.962,0.52925
blast_c_009,Child,Voice,Low,Short,2.541666667,-3.42625
blast_c_059,Child,Voice,Low,Short,0.290666667,-0.3535
blast_c_072,Child,Voice,Low,Short,2.981333333,-0.835
blast_c_123,Child,Voice,Low,Short,0.335333333,0.64925
blast_c_126,Child,Voice,Low,Short,4.724666667,-4.478
blast_c_164,Child,Voice,Low,Short,8.061666667,-4.7125
blast_c_165,Child,Voice,Low,Short,4.674,-2.258
blast_c_168,Child,Voice,Low,Short,1.267,-0.2215
blast_c_206,Child,Voice,Low,Short,2.852333333,-2.1375
blast_c_207,Child,Voice,Low,Short,3.104666667,-2.44075
blast_c_209,Child,Voice,Low,Short,3.827,-3.00425
blast_c_210,Child,Voice,Low,Short,-2.206,0.69625
blast_c_213,Child,Voice,Low,Short,3.379,-2.6375
blast_c_216,Child,Voice,Low,Short,0.014333333,0.25175
blast_c_224,Child,Voice,Low,Short,0.305666667,0.026
blast_c_231,Child,Voice,Low,Short,2.013666667,-1.373
blast_c_232,Child,Voice,Low,Short,2.576666667,-0.29575
blast_c_233,Child,Voice,Low,Short,4.049333333,-1.91575
blast_c_254,Child,Voice,Low,Short,1.927333333,0.42825
blast_c_265,Child,Voice,Low,Short,1.493666667,-1.1995
blast_c_268,Child,Voice,Low,Short,0.627,-1.37375
blast_c_269,Child,Voice,Low,Short,1.829333333,-1.19225
