"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","bi.wav",193,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"2","ba.wav",194,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"3","bi.wav",195,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"4","ta.wav",196,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"5","pa.wav",197,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"6","du.wav",198,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"7","da.wav",199,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"8","tu.wav",200,"R",0.408710297197,"4",NA,"","da",5,5,"1C","auditory"
"9","bu.wav",201,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"10","pu.wav",202,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"11","ti.wav",203,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"12","pi.wav",204,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"13","bu.wav",205,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"14","tu.wav",206,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"15","ba.wav",207,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"16","pi.wav",208,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"17","di.wav",209,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"18","da.wav",210,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"19","du.wav",211,"R",0.231263681781,"4",NA,"","da",5,5,"1C","auditory"
"20","di.wav",212,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"21","pu.wav",213,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"22","ti.wav",214,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"23","pa.wav",215,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"24","ta.wav",216,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"25","3A.wav",193,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"26","3B.wav",194,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"27","3C.wav",195,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"28","2A.wav",196,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"29","2B.wav",197,"S",NA,"",0.025212536566,"4","da",5,5,"1C","auditory"
"30","2C.wav",198,"S",NA,"",0.441958373412,"4","da",5,5,"1C","auditory"
"31","1A.wav",199,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"32","1B.wav",200,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"33","1C.wav",201,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"34","4A.wav",202,"S",NA,"",0.258568871766,"4","da",5,5,"1C","auditory"
"35","4B.wav",203,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"36","4C.wav",204,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"37","2A.wav",205,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"38","2B.wav",206,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"39","2C.wav",207,"S",NA,"",0.308601412224,"4","da",5,5,"1C","auditory"
"40","3A.wav",208,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"41","3B.wav",209,"S",NA,"",0.391942899674,"4","da",5,5,"1C","auditory"
"42","3C.wav",210,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"43","1A.wav",211,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"44","1B.wav",212,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"45","1C.wav",213,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"46","4A.wav",214,"S",NA,"",0.199512633961,"4","da",5,5,"1C","auditory"
"47","4B.wav",215,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"48","4C.wav",216,"S",NA,"",NA,"None","da",5,5,"1C","auditory"
"49","bi.wav",217,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"50","du.wav",218,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"51","ti.wav",219,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"52","du.wav",220,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"53","pi.wav",221,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"54","ba.wav",222,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"55","bu.wav",223,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
"56","pa.wav",224,"R",NA,"None",NA,"","da",5,5,"1C","auditory"
