word,location,image,repetition,trialnum,condition,letter6,letter5,letter4,letter3,letter2,letter1,corrAns,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_trials.thisRepN,forced_test_trials.thisTrialN,forced_test_trials.thisN,forced_test_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,Alien4.bmp,1,202,R,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien9.bmp,1,203,R,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien6.bmp,1,204,R,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,3,0.336041053291,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien3.bmp,1,205,R,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien11.bmp,1,206,R,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien10.bmp,1,207,R,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien4.bmp,1,208,R,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien8.bmp,1,209,R,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien5.bmp,1,210,R,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien9.bmp,1,211,R,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien11.bmp,1,212,R,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien7.bmp,1,213,R,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien10.bmp,1,214,R,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien6.bmp,1,215,R,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,3,0.36455886811,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien12.bmp,1,216,R,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien7.bmp,1,217,R,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien5.bmp,1,218,R,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien2.bmp,1,219,R,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien4.bmp,1,220,R,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien5.bmp,1,221,R,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien11.bmp,1,222,R,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien11.bmp,1,223,R,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien12.bmp,1,224,R,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien9.bmp,1,225,R,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien4.bmp,1,226,R,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien8.bmp,1,227,R,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,3,0.357948383084,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien9.bmp,1,228,R,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien6.bmp,1,229,R,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,3,0.329045999446,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien10.bmp,1,230,R,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien3.bmp,1,231,R,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien12.bmp,1,232,R,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien6.bmp,1,233,R,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,3,0.456828326802,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,3,Alien3.bmp,1,234,R,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,1,Alien8.bmp,1,235,R,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
0,2,Alien2.bmp,1,236,R,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,None,,,,,2,6,f008,H,119.983174627,visual,2018_Jan_30_1526,
