word,location,image,repetition,trialnum,condition,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trial_key_resp.keys,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,v_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,0,blank.png,0,0,B,0,35,35,35,,,,,,,,,None,,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,B.png,1,1,R,,,,,0,0,0,0,,,,,,3,0.112958733691,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,A.png,1,2,R,,,,,0,1,1,1,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,K.png,1,3,R,,,,,0,2,2,2,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,D.png,1,4,R,,,,,0,3,3,3,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,C.png,1,5,R,,,,,0,4,4,4,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,M.png,1,6,R,,,,,0,5,5,5,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,E.png,1,7,R,,,,,0,6,6,6,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,C.png,1,8,R,,,,,0,7,7,7,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,J.png,1,9,R,,,,,0,8,8,8,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,F.png,1,10,R,,,,,0,9,9,9,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,J.png,1,11,R,,,,,0,10,10,10,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,L.png,1,12,R,,,,,0,11,11,11,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,G.png,1,13,R,,,,,0,12,12,12,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,G.png,1,14,R,,,,,0,13,13,13,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,3,A.png,1,15,R,,,,,0,14,14,14,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,1,H.png,1,16,R,,,,,0,15,15,15,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
0,2,K.png,1,17,R,,,,,0,16,16,16,,,,,,None,,,,4,9,011,B,119.993480896,visual,2017_Nov_03_1007,
