"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","value","key_press","stimulus"
"-1000","","audio-keyboard-response","278","257143","0.0-11.0-267.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","279","257626","0.0-11.0-268.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","280","258108","0.0-11.0-269.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","281","258589","0.0-11.0-270.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","282","259072","0.0-11.0-271.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","283","259557","0.0-11.0-272.0","lang2","do","","-1","sound/do.wav"
"21.904761904750103","","audio-keyboard-response","284","260039","0.0-11.0-273.0","lang2","do","","32","sound/da.wav"
"-1000","","audio-keyboard-response","285","260520","0.0-11.0-274.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","286","261003","0.0-11.0-275.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","287","261484","0.0-11.0-276.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","288","261966","0.0-11.0-277.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","289","262447","0.0-11.0-278.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","290","262929","0.0-11.0-279.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","291","263411","0.0-11.0-280.0","lang2","do","","-1","sound/la.wav"
"277.32426303850843","","audio-keyboard-response","292","263893","0.0-11.0-281.0","lang2","do","","32","sound/tu.wav"
"-1000","","audio-keyboard-response","293","264375","0.0-11.0-282.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","294","264856","0.0-11.0-283.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","295","265343","0.0-11.0-284.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","296","265826","0.0-11.0-285.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","297","266308","0.0-11.0-286.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","298","266790","0.0-11.0-287.0","lang2","do","","-1","sound/do.wav"
"33.5147392290196","","audio-keyboard-response","299","267271","0.0-11.0-288.0","lang2","do","","32","sound/go.wav"
"-1000","","audio-keyboard-response","300","267753","0.0-11.0-289.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","301","268236","0.0-11.0-290.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","302","268720","0.0-11.0-291.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","303","269205","0.0-11.0-292.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","304","269689","0.0-11.0-293.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","305","270174","0.0-11.0-294.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","306","270659","0.0-11.0-295.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","307","271144","0.0-11.0-296.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","308","271629","0.0-11.0-297.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","309","272113","0.0-11.0-298.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","310","272598","0.0-11.0-299.0","lang2","do","","-1","sound/do.wav"
"103.17460317457972","","audio-keyboard-response","311","273083","0.0-11.0-300.0","lang2","do","","32","sound/go.wav"
"-1000","","audio-keyboard-response","312","273567","0.0-11.0-301.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","313","274052","0.0-11.0-302.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","314","274536","0.0-11.0-303.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","315","275021","0.0-11.0-304.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","316","275503","0.0-11.0-305.0","lang2","do","","-1","sound/do.wav"
"167.0294784580051","","audio-keyboard-response","317","275986","0.0-11.0-306.0","lang2","do","","32","sound/da.wav"
"-1000","","audio-keyboard-response","318","276470","0.0-11.0-307.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","319","276954","0.0-11.0-308.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","320","277439","0.0-11.0-309.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","321","277923","0.0-11.0-310.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","322","278409","0.0-11.0-311.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","323","278892","0.0-11.0-312.0","lang2","do","","-1","sound/go.wav"
"-1000","","audio-keyboard-response","324","279374","0.0-11.0-313.0","lang2","do","","-1","sound/la.wav"
"-1000","","audio-keyboard-response","325","279856","0.0-11.0-314.0","lang2","do","","-1","sound/tu.wav"
"-1000","","audio-keyboard-response","326","280338","0.0-11.0-315.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","327","280820","0.0-11.0-316.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","328","281305","0.0-11.0-317.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","329","281788","0.0-11.0-318.0","lang2","do","","-1","sound/da.wav"
"79.95464852609757","","audio-keyboard-response","330","282269","0.0-11.0-319.0","lang2","do","","32","sound/ro.wav"
"-1000","","audio-keyboard-response","331","282751","0.0-11.0-320.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","332","283233","0.0-11.0-321.0","lang2","do","","-1","sound/ti.wav"
"-1000","","audio-keyboard-response","333","283715","0.0-11.0-322.0","lang2","do","","-1","sound/bu.wav"
"-1000","","audio-keyboard-response","334","284197","0.0-11.0-323.0","lang2","do","","-1","sound/do.wav"
"-1000","","audio-keyboard-response","335","284679","0.0-11.0-324.0","lang2","do","","-1","sound/pa.wav"
"-1000","","audio-keyboard-response","336","285160","0.0-11.0-325.0","lang2","do","","-1","sound/bi.wav"
"-1000","","audio-keyboard-response","337","285642","0.0-11.0-326.0","lang2","do","","-1","sound/ku.wav"
"-1000","","audio-keyboard-response","338","286124","0.0-11.0-327.0","lang2","do","","-1","sound/da.wav"
"-1000","","audio-keyboard-response","339","286606","0.0-11.0-328.0","lang2","do","","-1","sound/ro.wav"
"-1000","","audio-keyboard-response","340","287090","0.0-11.0-329.0","lang2","do","","-1","sound/pi.wav"
"-1000","","audio-keyboard-response","341","287576","0.0-11.0-330.0","lang2","do","","-1","sound/go.wav"
