word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
3,1,Alien10.bmp,17,202,S,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,17,203,S,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,17,204,S,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,18,205,S,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,18,206,S,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,18,207,S,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,18,208,S,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,18,209,S,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,18,210,S,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,3,0.458591312519,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,18,211,S,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
