soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
ta.wav,3,1,18,214,S,,,,,0,21,21,21,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,18,215,S,,,,,0,22,22,22,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,18,216,S,,,,,0,23,23,23,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,1,1,217,R,0,0,0,0,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,2,1,218,R,0,1,1,1,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,3,1,219,R,0,2,2,2,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,1,1,220,R,0,3,3,3,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,2,1,221,R,0,4,4,4,,,,,3,0.391975376231,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1A.wav,0,3,1,222,R,0,5,5,5,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,1,1,223,R,0,6,6,6,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4A.wav,0,2,1,224,R,0,7,7,7,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,3,1,225,R,0,8,8,8,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1B.wav,0,1,1,226,R,0,9,9,9,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,2,1,227,R,0,10,10,10,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,3,1,228,R,0,11,11,11,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,1,1,229,R,0,12,12,12,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,2,1,230,R,0,13,13,13,,,,,3,0.183567435597,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,3,1,231,R,0,14,14,14,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1A.wav,0,1,1,232,R,0,15,15,15,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,2,1,233,R,0,16,16,16,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,3,1,234,R,0,17,17,17,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,1,1,235,R,0,18,18,18,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4A.wav,0,2,1,236,R,0,19,19,19,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1B.wav,0,3,1,237,R,0,20,20,20,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,1,1,238,R,0,21,21,21,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,2,1,239,R,0,22,22,22,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,3,1,240,R,0,23,23,23,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,19,217,S,,,,,0,0,0,0,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,19,218,S,,,,,0,1,1,1,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,19,219,S,,,,,0,2,2,2,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,19,220,S,,,,,0,3,3,3,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,19,221,S,,,,,0,4,4,4,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,19,222,S,,,,,0,5,5,5,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,19,223,S,,,,,0,6,6,6,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,19,224,S,,,,,0,7,7,7,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,19,225,S,,,,,0,8,8,8,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,19,226,S,,,,,0,9,9,9,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,19,227,S,,,,,0,10,10,10,,,3,0.000251164135989,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,19,228,S,,,,,0,11,11,11,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,20,229,S,,,,,0,12,12,12,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,20,230,S,,,,,0,13,13,13,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,20,231,S,,,,,0,14,14,14,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,20,232,S,,,,,0,15,15,15,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,20,233,S,,,,,0,16,16,16,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,20,234,S,,,,,0,17,17,17,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,20,235,S,,,,,0,18,18,18,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,20,236,S,,,,,0,19,19,19,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,20,237,S,,,,,0,20,20,20,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,20,238,S,,,,,0,21,21,21,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,20,239,S,,,,,0,22,22,22,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,20,240,S,,,,,0,23,23,23,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,24,24,24,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,25,25,25,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,26,26,26,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,27,27,27,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,28,28,28,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,29,29,29,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,30,30,30,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,31,31,31,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,32,32,32,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,33,33,33,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,34,34,34,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
silence.wav,0,0,0,0,B,,,,,0,35,35,35,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,1,1,241,R,0,0,0,0,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,2,1,242,R,0,1,1,1,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,3,1,243,R,0,2,2,2,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,1,1,244,R,0,3,3,3,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,2,1,245,R,0,4,4,4,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,3,1,246,R,0,5,5,5,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1C.wav,0,1,1,247,R,0,6,6,6,,,,,3,0.225294819218,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1A.wav,0,2,1,248,R,0,7,7,7,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4C.wav,0,3,1,249,R,0,8,8,8,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3C.wav,0,1,1,250,R,0,9,9,9,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4B.wav,0,2,1,251,R,0,10,10,10,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,3,1,252,R,0,11,11,11,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,1,1,253,R,0,12,12,12,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2C.wav,0,2,1,254,R,0,13,13,13,,,,,3,0.0503292583162,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3B.wav,0,3,1,255,R,0,14,14,14,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,1,1,256,R,0,15,15,15,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
1B.wav,0,2,1,257,R,0,16,16,16,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
3A.wav,0,3,1,258,R,0,17,17,17,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,1,1,259,R,0,18,18,18,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4A.wav,0,2,1,260,R,0,19,19,19,,,,,3,0.191924119426,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2A.wav,0,3,1,261,R,0,20,20,20,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,1,1,262,R,0,21,21,21,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
4A.wav,0,2,1,263,R,0,22,22,22,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
2B.wav,0,3,1,264,R,0,23,23,23,,,,,None,,,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,21,241,S,,,,,0,0,0,0,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,21,242,S,,,,,0,1,1,1,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,21,243,S,,,,,0,2,2,2,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,21,244,S,,,,,0,3,3,3,,,3,0.325286598818,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,21,245,S,,,,,0,4,4,4,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,21,246,S,,,,,0,5,5,5,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,21,247,S,,,,,0,6,6,6,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,21,248,S,,,,,0,7,7,7,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,21,249,S,,,,,0,8,8,8,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,22,250,S,,,,,0,9,9,9,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,22,251,S,,,,,0,10,10,10,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
da.wav,4,3,22,252,S,,,,,0,11,11,11,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pi.wav,1,1,22,253,S,,,,,0,12,12,12,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
tu.wav,1,2,22,254,S,,,,,0,13,13,13,,,3,0.0138111843262,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bi.wav,1,3,22,255,S,,,,,0,14,14,14,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ta.wav,3,1,22,256,S,,,,,0,15,15,15,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ti.wav,3,2,22,257,S,,,,,0,16,16,16,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
du.wav,3,3,22,258,S,,,,,0,17,17,17,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
di.wav,2,1,21,259,S,,,,,0,18,18,18,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
ba.wav,2,2,21,260,S,,,,,0,19,19,19,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pu.wav,2,3,21,261,S,,,,,0,20,20,20,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
bu.wav,4,1,23,262,S,,,,,0,21,21,21,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
pa.wav,4,2,23,263,S,,,,,0,22,22,22,,,None,,da,3,014,119.991433161,1C,auditory,2017_Nov_07_1322,
