soundFile,word,location,repetition,trialnum,condition,practice_trials_1.thisRepN,practice_trials_1.thisTrialN,practice_trials_1.thisN,practice_trials_1.thisIndex,practice_trials_2.thisRepN,practice_trials_2.thisTrialN,practice_trials_2.thisN,practice_trials_2.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,practice_trial_1.keys,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
1B.wav,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1B.wav,,,,,,,,,,0,0,0,0,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,,,,,,,,,,0,1,1,1,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,,,,,,,,,,0,2,2,2,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,,,,,,,,,,0,3,3,3,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,,,,,,,,,,0,4,4,4,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,,,,,,,,,,0,5,5,5,,,,,,,,,None,,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,1,1,S,,,,,,,,,0,0,0,0,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,1,2,S,,,,,,,,,0,1,1,1,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,1,3,S,,,,,,,,,0,2,2,2,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
di.wav,2,1,1,4,S,,,,,,,,,0,3,3,3,,,,,,3,0.341930839233,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ba.wav,2,2,1,5,S,,,,,,,,,0,4,4,4,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pu.wav,2,3,1,6,S,,,,,,,,,0,5,5,5,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,1,7,S,,,,,,,,,0,6,6,6,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ti.wav,3,2,1,8,S,,,,,,,,,0,7,7,7,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,1,9,S,,,,,,,,,0,8,8,8,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,2,10,S,,,,,,,,,0,9,9,9,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,2,11,S,,,,,,,,,0,10,10,10,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,2,12,S,,,,,,,,,0,11,11,11,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,1,13,S,,,,,,,,,0,12,12,12,,,,,,3,0.166883792263,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,1,14,S,,,,,,,,,0,13,13,13,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,1,15,S,,,,,,,,,0,14,14,14,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
di.wav,2,1,2,16,S,,,,,,,,,0,15,15,15,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ba.wav,2,2,2,17,S,,,,,,,,,0,16,16,16,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pu.wav,2,3,2,18,S,,,,,,,,,0,17,17,17,,,,,,3,0.317028062185,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,2,19,S,,,,,,,,,0,18,18,18,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ti.wav,3,2,2,20,S,,,,,,,,,0,19,19,19,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
du.wav,3,3,2,21,S,,,,,,,,,0,20,20,20,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pi.wav,1,1,3,22,S,,,,,,,,,0,21,21,21,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
tu.wav,1,2,3,23,S,,,,,,,,,0,22,22,22,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bi.wav,1,3,3,24,S,,,,,,,,,0,23,23,23,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,0,1,1,1,R,,,,,,,,,,,,,0,0,0,0,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1B.wav,0,2,1,2,R,,,,,,,,,,,,,0,1,1,1,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4A.wav,0,3,1,3,R,,,,,,,,,,,,,0,2,2,2,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,0,1,1,4,R,,,,,,,,,,,,,0,3,3,3,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0,2,1,5,R,,,,,,,,,,,,,0,4,4,4,,,,3,0.0835929356981,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2C.wav,0,3,1,6,R,,,,,,,,,,,,,0,5,5,5,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2A.wav,0,1,1,7,R,,,,,,,,,,,,,0,6,6,6,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0,2,1,8,R,,,,,,,,,,,,,0,7,7,7,,,,3,0.383644249523,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
2B.wav,0,3,1,9,R,,,,,,,,,,,,,0,8,8,8,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1C.wav,0,1,1,10,R,,,,,,,,,,,,,0,9,9,9,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,0,2,1,11,R,,,,,,,,,,,,,0,10,10,10,,,,3,0.383601298323,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0,3,1,12,R,,,,,,,,,,,,,0,11,11,11,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0,1,1,13,R,,,,,,,,,,,,,0,12,12,12,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0,2,1,14,R,,,,,,,,,,,,,0,13,13,13,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0,3,1,15,R,,,,,,,,,,,,,0,14,14,14,,,,3,0.141901939875,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3B.wav,0,1,1,16,R,,,,,,,,,,,,,0,15,15,15,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0,2,1,17,R,,,,,,,,,,,,,0,16,16,16,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4A.wav,0,3,1,18,R,,,,,,,,,,,,,0,17,17,17,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3A.wav,0,1,1,19,R,,,,,,,,,,,,,0,18,18,18,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4C.wav,0,2,1,20,R,,,,,,,,,,,,,0,19,19,19,,,,3,0.224293384468,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
3C.wav,0,3,1,21,R,,,,,,,,,,,,,0,20,20,20,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
4B.wav,0,1,1,22,R,,,,,,,,,,,,,0,21,21,21,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1A.wav,0,2,1,23,R,,,,,,,,,,,,,0,22,22,22,,,,3,0.391952855047,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
1B.wav,0,3,1,24,R,,,,,,,,,,,,,0,23,23,23,,,,None,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,2,25,S,,,,,,,,,0,0,0,0,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,2,26,S,,,,,,,,,0,1,1,1,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,2,27,S,,,,,,,,,0,2,2,2,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
di.wav,2,1,3,28,S,,,,,,,,,0,3,3,3,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ba.wav,2,2,3,29,S,,,,,,,,,0,4,4,4,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pu.wav,2,3,3,30,S,,,,,,,,,0,5,5,5,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
bu.wav,4,1,3,31,S,,,,,,,,,0,6,6,6,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
pa.wav,4,2,3,32,S,,,,,,,,,0,7,7,7,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
da.wav,4,3,3,33,S,,,,,,,,,0,8,8,8,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
ta.wav,3,1,3,34,S,,,,,,,,,0,9,9,9,,,,,,None,,,,bi,1,002,119.969833516,1C,auditory,2017_Oct_24_1557,
