"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history","responses"
"43699","backround.jpg","49","image-keyboard-response","0","43699","0.0-0.0","","",""
"null","sound/asl/5words_lanaguage.mp3","null","audio-keyboard-response","1","180521","0.0-1.0","","",""
"28830","Instructions2-eng.png","49","image-keyboard-response","2","209351","0.0-2.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","3","210553","0.0-3.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","4","211474","0.0-3.0-1.0","","",""
"3592","sound/asl/silence.wav","49","audio-keyboard-response","5","215066","0.0-3.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","6","216273","0.0-4.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","7","217194","0.0-4.0-1.0","","",""
"632","sound/asl/silence.wav","49","audio-keyboard-response","8","217831","0.0-4.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","9","219042","0.0-5.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","10","219893","0.0-5.0-1.0","","",""
"411","sound/asl/silence.wav","50","audio-keyboard-response","11","220306","0.0-5.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","12","221523","0.0-6.0-0.0","","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","13","222334","0.0-6.0-1.0","","",""
"509","sound/asl/silence.wav","49","audio-keyboard-response","14","222843","0.0-6.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","15","224063","0.0-7.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","16","224974","0.0-7.0-1.0","","",""
"280","sound/asl/silence.wav","49","audio-keyboard-response","17","225261","0.0-7.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","18","226463","0.0-8.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","19","227303","0.0-8.0-1.0","","",""
"579","sound/asl/silence.wav","49","audio-keyboard-response","20","227890","0.0-8.0-2.0","false","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","21","229093","0.0-9.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","22","229934","0.0-9.0-1.0","","",""
"709","sound/asl/silence.wav","50","audio-keyboard-response","23","230649","0.0-9.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","24","231863","0.0-10.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","25","232733","0.0-10.0-1.0","","",""
"429","sound/asl/silence.wav","50","audio-keyboard-response","26","233168","0.0-10.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","27","234372","0.0-11.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","28","235224","0.0-11.0-1.0","","",""
"419","sound/asl/silence.wav","49","audio-keyboard-response","29","235651","0.0-11.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","30","236853","0.0-12.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","31","237693","0.0-12.0-1.0","","",""
"299","sound/asl/silence.wav","49","audio-keyboard-response","32","237996","0.0-12.0-2.0","false","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","33","239203","0.0-13.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","34","240065","0.0-13.0-1.0","","",""
"600","sound/asl/silence.wav","50","audio-keyboard-response","35","240665","0.0-13.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","36","241871","0.0-14.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","37","242702","0.0-14.0-1.0","","",""
"539","sound/asl/silence.wav","50","audio-keyboard-response","38","243242","0.0-14.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","39","244460","0.0-15.0-0.0","","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","40","245281","0.0-15.0-1.0","","",""
"509","sound/asl/silence.wav","50","audio-keyboard-response","41","245792","0.0-15.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","42","247000","0.0-16.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","43","247851","0.0-16.0-1.0","","",""
"659","sound/asl/silence.wav","50","audio-keyboard-response","44","248514","0.0-16.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","45","249720","0.0-17.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","46","250631","0.0-17.0-1.0","","",""
"531","sound/asl/silence.wav","49","audio-keyboard-response","47","251171","0.0-17.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","48","252391","0.0-18.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","49","253251","0.0-18.0-1.0","","",""
"1429","sound/asl/silence.wav","49","audio-keyboard-response","50","254686","0.0-18.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","51","255890","0.0-19.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","52","256732","0.0-19.0-1.0","","",""
"429","sound/asl/silence.wav","50","audio-keyboard-response","53","257171","0.0-19.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","54","258391","0.0-20.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","55","259252","0.0-20.0-1.0","","",""
"509","sound/asl/silence.wav","49","audio-keyboard-response","56","259770","0.0-20.0-2.0","false","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","57","260970","0.0-21.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","58","261822","0.0-21.0-1.0","","",""
"288","sound/asl/silence.wav","49","audio-keyboard-response","59","262113","0.0-21.0-2.0","true","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","60","263327","0.0-22.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","61","264242","0.0-22.0-1.0","","",""
"1280","sound/asl/silence.wav","49","audio-keyboard-response","62","265522","0.0-22.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","63","266731","0.0-23.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","64","267562","0.0-23.0-1.0","","",""
"1331","sound/asl/silence.wav","49","audio-keyboard-response","65","268893","0.0-23.0-2.0","true","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","66","270101","0.0-24.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","67","270961","0.0-24.0-1.0","","",""
"920","sound/asl/silence.wav","50","audio-keyboard-response","68","271892","0.0-24.0-2.0","false","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","69","273110","0.0-25.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","70","273962","0.0-25.0-1.0","","",""
"411","sound/asl/silence.wav","49","audio-keyboard-response","71","274379","0.0-25.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","72","275590","0.0-26.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","73","276441","0.0-26.0-1.0","","",""
"221","sound/asl/silence.wav","49","audio-keyboard-response","74","276667","0.0-26.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","75","277881","0.0-27.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","76","278741","0.0-27.0-1.0","","",""
"400","sound/asl/silence.wav","49","audio-keyboard-response","77","279148","0.0-27.0-2.0","false","",""
"3420","","","instructions","78","282568","0.0-28.0","","[{""page_index"":0,""viewing_time"":3420}]",""
"11704","","","survey-likert","79","294276","0.0-29.0","","","{""Q0"":0}"
"7564","","","survey-likert","80","301842","0.0-30.0","","","{""Q0"":4}"
"8561","","","survey-likert","81","310405","0.0-31.0","","","{""Q0"":1}"
"14220","","","survey-likert","82","324626","0.0-32.0","","","{""Q0"":5}"
"8756","","","survey-likert","83","333384","0.0-33.0","","","{""Q0"":3}"
"7296","","","survey-likert","84","340680","0.0-34.0","","","{""Q0"":0}"
"1258","","","instructions","85","341938","0.0-35.0","","[{""page_index"":0,""viewing_time"":1257}]",""
