"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history","responses"
"5079","backround.jpg","49","image-keyboard-response","0","5081","0.0-0.0","","",""
"null","sound/asl/5words_lanaguage.mp3","null","audio-keyboard-response","1","140640","0.0-1.0","","",""
"21301","Instructions2-eng.png","49","image-keyboard-response","2","161941","0.0-2.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","3","163146","0.0-3.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","4","164064","0.0-3.0-1.0","","",""
"4876","sound/asl/silence.wav","49","audio-keyboard-response","5","168940","0.0-3.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","6","170147","0.0-4.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","7","171012","0.0-4.0-1.0","","",""
"702","sound/asl/silence.wav","50","audio-keyboard-response","8","171715","0.0-4.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","9","172916","0.0-5.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","10","173775","0.0-5.0-1.0","","",""
"435","sound/asl/silence.wav","49","audio-keyboard-response","11","174216","0.0-5.0-2.0","true","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","12","175417","0.0-6.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","13","176277","0.0-6.0-1.0","","",""
"522","sound/asl/silence.wav","49","audio-keyboard-response","14","176802","0.0-6.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","15","178004","0.0-7.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","16","178866","0.0-7.0-1.0","","",""
"1991","sound/asl/silence.wav","50","audio-keyboard-response","17","180859","0.0-7.0-2.0","true","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","18","182064","0.0-8.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","19","182982","0.0-8.0-1.0","","",""
"2827","sound/asl/silence.wav","49","audio-keyboard-response","20","185811","0.0-8.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","21","187017","0.0-9.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","22","187875","0.0-9.0-1.0","","",""
"4220","sound/asl/silence.wav","49","audio-keyboard-response","23","192101","0.0-9.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","24","193303","0.0-10.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","25","194145","0.0-10.0-1.0","","",""
"3767","sound/asl/silence.wav","49","audio-keyboard-response","26","197914","0.0-10.0-2.0","false","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","27","199118","0.0-11.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","28","199973","0.0-11.0-1.0","","",""
"302","sound/asl/silence.wav","50","audio-keyboard-response","29","200280","0.0-11.0-2.0","false","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","30","201483","0.0-12.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","31","202325","0.0-12.0-1.0","","",""
"639","sound/asl/silence.wav","49","audio-keyboard-response","32","202964","0.0-12.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","33","204170","0.0-13.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","34","205036","0.0-13.0-1.0","","",""
"534","sound/asl/silence.wav","50","audio-keyboard-response","35","205569","0.0-13.0-2.0","true","",""
