"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history","responses"
"5444","backround.jpg","49","image-keyboard-response","0","5447","0.0-0.0","","",""
"null","sound/asl/5words_lanaguage.mp3","null","audio-keyboard-response","1","141103","0.0-1.0","","",""
"4597","Instructions2-eng.png","49","image-keyboard-response","2","145702","0.0-2.0","","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","3","146907","0.0-3.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","4","147771","0.0-3.0-1.0","","",""
"888","sound/asl/silence.wav","49","audio-keyboard-response","5","148666","0.0-3.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","6","149867","0.0-4.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","7","150721","0.0-4.0-1.0","","",""
"220","sound/asl/silence.wav","50","audio-keyboard-response","8","150944","0.0-4.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","9","152146","0.0-5.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","10","152991","0.0-5.0-1.0","","",""
"641","sound/asl/silence.wav","49","audio-keyboard-response","11","153636","0.0-5.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","12","154840","0.0-6.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","13","155701","0.0-6.0-1.0","","",""
"221","sound/asl/silence.wav","50","audio-keyboard-response","14","155929","0.0-6.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","15","157130","0.0-7.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","16","157991","0.0-7.0-1.0","","",""
"180","sound/asl/silence.wav","49","audio-keyboard-response","17","158172","0.0-7.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","18","159374","0.0-8.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","19","160231","0.0-8.0-1.0","","",""
"217","sound/asl/silence.wav","50","audio-keyboard-response","20","160456","0.0-8.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","21","161662","0.0-9.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","22","162522","0.0-9.0-1.0","","",""
"168","sound/asl/silence.wav","49","audio-keyboard-response","23","162700","0.0-9.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","24","163901","0.0-10.0-0.0","","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","25","164751","0.0-10.0-1.0","","",""
"208","sound/asl/silence.wav","49","audio-keyboard-response","26","164963","0.0-10.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","27","166166","0.0-11.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","28","167042","0.0-11.0-1.0","","",""
"429","sound/asl/silence.wav","49","audio-keyboard-response","29","167474","0.0-11.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","30","168674","0.0-12.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","31","169551","0.0-12.0-1.0","","",""
"128","sound/asl/silence.wav","49","audio-keyboard-response","32","169690","0.0-12.0-2.0","false","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","33","170891","0.0-13.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","34","171821","0.0-13.0-1.0","","",""
"380","sound/asl/silence.wav","50","audio-keyboard-response","35","172206","0.0-13.0-2.0","false","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","36","173407","0.0-14.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","37","174332","0.0-14.0-1.0","","",""
"499","sound/asl/silence.wav","49","audio-keyboard-response","38","174833","0.0-14.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","39","176036","0.0-15.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","40","176901","0.0-15.0-1.0","","",""
"440","sound/asl/silence.wav","49","audio-keyboard-response","41","177342","0.0-15.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","42","178544","0.0-16.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","43","179471","0.0-16.0-1.0","","",""
"143","sound/asl/silence.wav","49","audio-keyboard-response","44","179613","0.0-16.0-2.0","true","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","45","180814","0.0-17.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","46","181741","0.0-17.0-1.0","","",""
"220","sound/asl/silence.wav","49","audio-keyboard-response","47","181969","0.0-17.0-2.0","true","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","48","183170","0.0-18.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","49","184041","0.0-18.0-1.0","","",""
"229","sound/asl/silence.wav","50","audio-keyboard-response","50","184272","0.0-18.0-2.0","false","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","51","185473","0.0-19.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","52","186351","0.0-19.0-1.0","","",""
"180","sound/asl/silence.wav","49","audio-keyboard-response","53","186531","0.0-19.0-2.0","false","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","54","187732","0.0-20.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","55","188661","0.0-20.0-1.0","","",""
"119","sound/asl/silence.wav","49","audio-keyboard-response","56","188786","0.0-20.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","57","189988","0.0-21.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","58","190851","0.0-21.0-1.0","","",""
"122","sound/asl/silence.wav","49","audio-keyboard-response","59","190972","0.0-21.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","60","192172","0.0-22.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","61","193051","0.0-22.0-1.0","","",""
"29","sound/asl/silence.wav","50","audio-keyboard-response","62","193085","0.0-22.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","63","194287","0.0-23.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","64","195131","0.0-23.0-1.0","","",""
"120","sound/asl/silence.wav","49","audio-keyboard-response","65","195259","0.0-23.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","66","196461","0.0-24.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","67","197340","0.0-24.0-1.0","","",""
"282","sound/asl/silence.wav","49","audio-keyboard-response","68","197625","0.0-24.0-2.0","false","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","69","198825","0.0-25.0-0.0","","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","70","199651","0.0-25.0-1.0","","",""
"110","sound/asl/silence.wav","50","audio-keyboard-response","71","199765","0.0-25.0-2.0","false","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","72","200965","0.0-26.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","73","201831","0.0-26.0-1.0","","",""
"110","sound/asl/silence.wav","49","audio-keyboard-response","74","201945","0.0-26.0-2.0","true","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","75","203147","0.0-27.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","76","204011","0.0-27.0-1.0","","",""
"89","sound/asl/silence.wav","49","audio-keyboard-response","77","204111","0.0-27.0-2.0","true","",""
"5422","","","instructions","78","209534","0.0-28.0","","[{""page_index"":0,""viewing_time"":5422}]",""
"13922","","","survey-likert","79","223458","0.0-29.0","","","{""Q0"":1}"
"4300","","","survey-likert","80","227760","0.0-30.0","","","{""Q0"":1}"
"4975","","","survey-likert","81","232736","0.0-31.0","","","{""Q0"":2}"
"4919","","","survey-likert","82","237655","0.0-32.0","","","{""Q0"":1}"
"3944","","","survey-likert","83","241599","0.0-33.0","","","{""Q0"":0}"
"4544","","","survey-likert","84","246143","0.0-34.0","","","{""Q0"":0}"
"871","","","instructions","85","247014","0.0-35.0","","[{""page_index"":0,""viewing_time"":871}]",""
