"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history"
"5824","alien.jpg","49","image-keyboard-response","0","5825","0.0-0.0","",""
"null","sound/msl/door_bell.wav","null","audio-keyboard-response","1","6328","0.0-1.0-0.0","",""
"null","sound/msl/slide_whistle.wav","null","audio-keyboard-response","2","6828","0.0-1.0-1.0","",""
"null","sound/msl/ding.wav","null","audio-keyboard-response","3","7332","0.0-1.0-2.0","",""
"null","sound/msl/dog.wav","null","audio-keyboard-response","4","7838","0.0-1.0-3.0","",""
"null","sound/msl/cow.wav","null","audio-keyboard-response","5","8342","0.0-1.0-4.0","",""
"null","sound/msl/organ.wav","null","audio-keyboard-response","6","8842","0.0-1.0-5.0","",""
"null","sound/msl/duck.wav","null","audio-keyboard-response","7","9347","0.0-1.0-6.0","",""
"null","sound/msl/goat.wav","null","audio-keyboard-response","8","9881","0.0-1.0-7.0","",""
"null","sound/msl/boing.wav","null","audio-keyboard-response","9","10380","0.0-1.0-8.0","",""
"null","sound/msl/cat.wav","null","audio-keyboard-response","10","10874","0.0-1.0-9.0","",""
"null","sound/msl/bird.wav","null","audio-keyboard-response","11","11378","0.0-1.0-10.0","",""
"null","sound/msl/clock.wav","null","audio-keyboard-response","12","11930","0.0-1.0-11.0","",""
"null","sound/msl/dog.wav","null","audio-keyboard-response","13","12435","0.0-1.0-12.0","",""
"null","sound/msl/cow.wav","null","audio-keyboard-response","14","12940","0.0-1.0-13.0","",""
"null","sound/msl/organ.wav","null","audio-keyboard-response","15","13439","0.0-1.0-14.0","",""
"null","sound/msl/door_bell.wav","null","audio-keyboard-response","16","13944","0.0-1.0-15.0","",""
"null","sound/msl/slide_whistle.wav","null","audio-keyboard-response","17","14444","0.0-1.0-16.0","",""
"null","sound/msl/ding.wav","null","audio-keyboard-response","18","14948","0.0-1.0-17.0","",""
"null","sound/msl/frog.wav","null","audio-keyboard-response","19","15454","0.0-1.0-18.0","",""
"null","sound/msl/Water.wav","null","audio-keyboard-response","20","15964","0.0-1.0-19.0","",""
"null","sound/msl/door.wav","null","audio-keyboard-response","21","16464","0.0-1.0-20.0","",""
"null","sound/msl/cat.wav","null","audio-keyboard-response","22","16957","0.0-1.0-21.0","",""
"null","sound/msl/bird.wav","null","audio-keyboard-response","23","17463","0.0-1.0-22.0","",""
"null","sound/msl/clock.wav","null","audio-keyboard-response","24","18014","0.0-1.0-23.0","",""
"null","sound/msl/duck.wav","null","audio-keyboard-response","25","18519","0.0-1.0-24.0","",""
"null","sound/msl/goat.wav","null","audio-keyboard-response","26","19053","0.0-1.0-25.0","",""
"null","sound/msl/boing.wav","null","audio-keyboard-response","27","19552","0.0-1.0-26.0","",""
"null","sound/msl/door_bell.wav","null","audio-keyboard-response","28","20057","0.0-1.0-27.0","",""
"null","sound/msl/slide_whistle.wav","null","audio-keyboard-response","29","20557","0.0-1.0-28.0","",""
"null","sound/msl/ding.wav","null","audio-keyboard-response","30","21061","0.0-1.0-29.0","",""
"null","sound/msl/dog.wav","null","audio-keyboard-response","31","21567","0.0-1.0-30.0","",""
"null","sound/msl/cow.wav","null","audio-keyboard-response","32","22071","0.0-1.0-31.0","",""
"null","sound/msl/organ.wav","null","audio-keyboard-response","33","22572","0.0-1.0-32.0","",""
"null","sound/msl/frog.wav","null","audio-keyboard-response","34","23076","0.0-1.0-33.0","",""
"null","sound/msl/Water.wav","null","audio-keyboard-response","35","23587","0.0-1.0-34.0","",""
"null","sound/msl/door.wav","null","audio-keyboard-response","36","24086","0.0-1.0-35.0","",""
"null","sound/msl/duck.wav","null","audio-keyboard-response","37","24592","0.0-1.0-36.0","",""
"null","sound/msl/goat.wav","null","audio-keyboard-response","38","25125","0.0-1.0-37.0","",""
"null","sound/msl/boing.wav","null","audio-keyboard-response","39","25624","0.0-1.0-38.0","",""
"null","sound/msl/cat.wav","null","audio-keyboard-response","40","26117","0.0-1.0-39.0","",""
"null","sound/msl/bird.wav","null","audio-keyboard-response","41","26623","0.0-1.0-40.0","",""
"null","sound/msl/clock.wav","null","audio-keyboard-response","42","27175","0.0-1.0-41.0","",""
"null","sound/msl/frog.wav","null","audio-keyboard-response","43","27680","0.0-1.0-42.0","",""
"null","sound/msl/Water.wav","null","audio-keyboard-response","44","28191","0.0-1.0-43.0","",""
"null","sound/msl/door.wav","null","audio-keyboard-response","45","28689","0.0-1.0-44.0","",""
"null","sound/msl/dog.wav","null","audio-keyboard-response","46","29194","0.0-1.0-45.0","",""
"null","sound/msl/cow.wav","null","audio-keyboard-response","47","29700","0.0-1.0-46.0","",""
"null","sound/msl/organ.wav","null","audio-keyboard-response","48","30199","0.0-1.0-47.0","",""
"null","sound/msl/duck.wav","null","audio-keyboard-response","49","30704","0.0-1.0-48.0","",""
"null","sound/msl/goat.wav","null","audio-keyboard-response","50","31238","0.0-1.0-49.0","",""
"null","sound/msl/boing.wav","null","audio-keyboard-response","51","31737","0.0-1.0-50.0","",""
"null","sound/msl/door_bell.wav","null","audio-keyboard-response","52","32242","0.0-1.0-51.0","",""
"null","sound/msl/slide_whistle.wav","null","audio-keyboard-response","53","32742","0.0-1.0-52.0","",""
"null","sound/msl/ding.wav","null","audio-keyboard-response","54","33247","0.0-1.0-53.0","",""
