"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","view_history","responses"
"12914","backround.jpg","49","image-keyboard-response","0","12915","0.0-0.0","","",""
"null","sound/asl/5words_lanaguage.mp3","null","audio-keyboard-response","1","148475","0.0-1.0","","",""
"4239","Instructions2-eng.png","49","image-keyboard-response","2","152715","0.0-2.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","3","153917","0.0-3.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","4","154775","0.0-3.0-1.0","","",""
"611","sound/asl/silence.wav","49","audio-keyboard-response","5","155391","0.0-3.0-2.0","true","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","6","156593","0.0-4.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","7","157505","0.0-4.0-1.0","","",""
"299","sound/asl/silence.wav","49","audio-keyboard-response","8","157805","0.0-4.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","9","159008","0.0-5.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","10","159875","0.0-5.0-1.0","","",""
"968","sound/asl/silence.wav","49","audio-keyboard-response","11","160850","0.0-5.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","12","162052","0.0-6.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","13","162880","0.0-6.0-1.0","","",""
"331","sound/asl/silence.wav","50","audio-keyboard-response","14","163210","0.0-6.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","15","164413","0.0-7.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","16","165271","0.0-7.0-1.0","","",""
"200","sound/asl/silence.wav","49","audio-keyboard-response","17","165471","0.0-7.0-2.0","true","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","18","166672","0.0-8.0-0.0","","",""
"null","sound/asl/kimuga.wav","null","audio-keyboard-response","19","167511","0.0-8.0-1.0","","",""
"589","sound/asl/silence.wav","49","audio-keyboard-response","20","168107","0.0-8.0-2.0","false","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","21","169310","0.0-9.0-0.0","","",""
"null","sound/asl/kibeno.wav","null","audio-keyboard-response","22","170163","0.0-9.0-1.0","","",""
"360","sound/asl/silence.wav","49","audio-keyboard-response","23","170528","0.0-9.0-2.0","true","",""
"null","sound/asl/nalobi.wav","null","audio-keyboard-response","24","171730","0.0-10.0-0.0","","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","25","172541","0.0-10.0-1.0","","",""
"229","sound/asl/silence.wav","50","audio-keyboard-response","26","172779","0.0-10.0-2.0","false","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","27","173981","0.0-11.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","28","174851","0.0-11.0-1.0","","",""
"480","sound/asl/silence.wav","49","audio-keyboard-response","29","175338","0.0-11.0-2.0","false","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","30","176541","0.0-12.0-0.0","","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","31","177393","0.0-12.0-1.0","","",""
"179","sound/asl/silence.wav","49","audio-keyboard-response","32","177576","0.0-12.0-2.0","false","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","33","178777","0.0-13.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","34","179623","0.0-13.0-1.0","","",""
"251","sound/asl/silence.wav","50","audio-keyboard-response","35","179879","0.0-13.0-2.0","true","",""
"null","sound/asl/tomubi.wav","null","audio-keyboard-response","36","181082","0.0-14.0-0.0","","",""
"null","sound/asl/gedino.wav","null","audio-keyboard-response","37","181943","0.0-14.0-1.0","","",""
"291","sound/asl/silence.wav","49","audio-keyboard-response","38","182239","0.0-14.0-2.0","false","",""
"null","sound/asl/tobelu.wav","null","audio-keyboard-response","39","183442","0.0-15.0-0.0","","",""
"null","sound/asl/gekalu.wav","null","audio-keyboard-response","40","184353","0.0-15.0-1.0","","",""
"179","sound/asl/silence.wav","49","audio-keyboard-response","41","184539","0.0-15.0-2.0","true","",""
"null","sound/asl/nadime.wav","null","audio-keyboard-response","42","185741","0.0-16.0-0.0","","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","43","186583","0.0-16.0-1.0","","",""
"149","sound/asl/silence.wav","49","audio-keyboard-response","44","186737","0.0-16.0-2.0","false","",""
"null","sound/asl/dukame.wav","null","audio-keyboard-response","45","187940","0.0-17.0-0.0","","",""
"null","sound/asl/duloga.wav","null","audio-keyboard-response","46","188774","0.0-17.0-1.0","","",""
"1661","sound/asl/silence.wav","50","audio-keyboard-response","47","190437","0.0-17.0-2.0","false","",""
