"part_id","task","rsr_raw","rsr_std"
"spoli_c_246","rsr1",31,NA
"spoli_c_317","rsr1",0,41
"spoli_c_343","rsr1",26,NA
"spoli_c_359","rsr1",24,101
"spoli_c_366","rsr1",28,NA
"spoli_c_379","rsr1",27,110
"spoli_c_391","rsr1",27,NA
"spoli_c_396","rsr1",29,112
"spoli_c_426","rsr1",11,63
"spoli_c_439","rsr1",26,101
"spoli_c_444","rsr1",11,54
"spoli_c_448","rsr1",26,101
"spoli_c_451","rsr1",16,69
"spoli_c_452","rsr1",16,77
"spoli_c_462","rsr1",24,NA
"spoli_c_487","rsr1",22,105
"spoli_c_497","rsr1",21,64
"spoli_c_497","rsr2",23,76
"spoli_c_500","rsr1",18,76
"spoli_c_501","rsr1",27,100
"spoli_c_508","rsr1",0,54
"spoli_c_521","rsr1",18,NA
"spoli_c_522","rsr1",29,114
"spoli_c_537","rsr1",16,84
"spoli_c_563","rsr1",21,85
"spoli_c_565","rsr1",15,82
"spoli_c_566","rsr1",28,112
"spoli_c_576","rsr1",12,NA
"spoli_c_583","rsr1",13,59
"spoli_c_583","rsr2",13,59
"spoli_c_586","rsr1",31,116
"spoli_c_586","rsr2",30,113
"spoli_c_617","rsr1",23,98
"spoli_c_617","rsr2",28,112
"spoli_c_624","rsr1",4,43
"spoli_c_624","rsr2",2,40
"spoli_c_627","rsr1",26,94
"spoli_c_627","rsr2",29,112
"spoli_c_631","rsr1",5,55
"spoli_c_639","rsr1",20,117
"spoli_c_639","rsr2",30,117
"spoli_c_640","rsr1",0,40
"spoli_c_640","rsr2",2,40
"spoli_c_644","rsr1",29,115
"spoli_c_644","rsr2",28,112
"spoli_c_651","rsr1",18,83
"spoli_c_651","rsr2",25,103
"spoli_c_668","rsr1",8,70
"spoli_c_668","rsr2",12,79
"spoli_c_677","rsr1",8,44
"spoli_c_677","rsr2",15,66
"spoli_c_715","rsr1",17,41
"spoli_c_715","rsr2",19,52
"spoli_c_716","rsr1",22,88
"spoli_c_716","rsr2",25,98
"spoli_c_724","rsr1",27,110
"spoli_c_724","rsr2",28,112
"spoli_c_730","rsr1",28,107
"spoli_c_730","rsr2",25,98
"spoli_c_740","rsr1",24,101
"spoli_c_740","rsr2",25,103
"spoli_c_743","rsr2",22,70
"spoli_c_744","rsr1",11,63
"spoli_c_744","rsr2",13,69
"spoli_c_746","rsr1",15,85
"spoli_c_746","rsr2",14,83
"spoli_c_751","rsr1",25,103
"spoli_c_751","rsr2",30,118
"spoli_c_768","rsr1",23,76
"spoli_c_768","rsr2",29,112
"spoli_c_769","rsr1",19,86
"spoli_c_775","rsr1",22,70
"spoli_c_775","rsr2",22,70
"spoli_c_776","rsr1",20,58
"spoli_c_776","rsr2",29,112
"spoli_c_777","rsr1",16,69
