Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,11,1,q,0,q,628,262165,dukame,q,tomubi,SegmentationProc,dukame
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,12,1,q,0,q,1411,267101,kimuga,q,kibeno,SegmentationProc,kimuga
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,13,1,p,0,p,2170,272781,gedino,p,nadime,SegmentationProc,gedino
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,14,0,p,0,q,1570,277869,tobelu,p,duloga,SegmentationProc,tobelu
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,15,1,q,0,q,1778,283165,nalobi,q,gekalu,SegmentationProc,nalobi
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,16,0,q,0,p,1713,288388,dukame,q,nadime,SegmentationProc,dukame
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,17,0,q,0,p,931,292844,tobelu,q,gekalu,SegmentationProc,tobelu
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,18,1,q,0,q,1142,297508,gedino,q,duloga,SegmentationProc,gedino
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,19,0,p,0,q,2000,303020,kimuga,p,tomubi,SegmentationProc,kimuga
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,20,0,p,0,q,1462,308004,nalobi,p,kibeno,SegmentationProc,nalobi
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,21,0,p,0,q,1011,312540,gedino,p,gekalu,SegmentationProc,gedino
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,22,1,q,0,q,4441,320508,tobelu,q,kibeno,SegmentationProc,tobelu
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,23,1,q,0,q,677,324700,nalobi,q,tomubi,SegmentationProc,nalobi
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,24,0,p,0,q,1506,329716,kimuga,p,nadime,SegmentationProc,kimuga
102,1,5,20,female,1,arabic,11/5/17,2,SegmentationTest,25,1,p,0,p,3085,336316,dukame,p,duloga,SegmentationProc,dukame
103,1,1,24,female,1,hebrew,11/5/17,1,exposureProc,1,,,,,,,,,,SoundExposure,
