Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,6,1,q,0,q,232,188582,kimuga,q,gekalu,SegmentationProc,kimuga
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,7,1,p,0,p,334,192438,dukame,p,kibeno,SegmentationProc,dukame
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,8,1,p,0,p,457,196414,gedino,p,tomubi,SegmentationProc,gedino
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,9,1,q,0,q,655,200582,tobelu,q,nadime,SegmentationProc,tobelu
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,10,0,p,0,q,341,204438,nalobi,p,duloga,SegmentationProc,nalobi
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,11,1,q,0,q,1919,209870,dukame,q,tomubi,SegmentationProc,dukame
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,12,1,q,0,q,577,213966,kimuga,q,kibeno,SegmentationProc,kimuga
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,13,1,p,0,p,274,217766,gedino,p,nadime,SegmentationProc,gedino
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,14,1,p,0,p,2647,223926,tobelu,p,duloga,SegmentationProc,tobelu
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,15,1,q,0,q,1371,228822,nalobi,q,gekalu,SegmentationProc,nalobi
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,16,1,q,0,q,1052,233390,dukame,q,nadime,SegmentationProc,dukame
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,17,1,q,0,q,2160,239069,tobelu,q,gekalu,SegmentationProc,tobelu
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,18,0,q,0,p,641,243221,gedino,q,duloga,SegmentationProc,gedino
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,19,1,p,0,p,1303,248037,kimuga,p,tomubi,SegmentationProc,kimuga
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,20,0,p,0,q,690,252245,nalobi,p,kibeno,SegmentationProc,nalobi
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,21,1,p,0,p,431,256189,gedino,p,gekalu,SegmentationProc,gedino
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,22,1,q,0,q,805,260517,tobelu,q,kibeno,SegmentationProc,tobelu
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,23,0,q,0,p,477,264509,nalobi,q,tomubi,SegmentationProc,nalobi
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,24,1,p,0,p,1178,269213,kimuga,p,nadime,SegmentationProc,kimuga
201,2,4,26,male,1,hebrew,01/11/2018,2,SegmentationTest,25,0,p,0,q,2138,274877,dukame,p,duloga,SegmentationProc,dukame
202,1,6,20,female,1,arabic,01/07/2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,1,1,p,0,p,2190,274190,gedino,p,kibeno,SegmentationProc,gedino
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,2,1,q,0,q,478,278182,dukame,q,gekalu,SegmentationProc,dukame
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,3,1,q,0,q,1594,283302,tobelu,q,tomubi,SegmentationProc,tobelu
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,4,1,q,0,q,1002,287814,nalobi,q,nadime,SegmentationProc,nalobi
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,5,0,p,0,q,1736,293069,kimuga,p,duloga,SegmentationProc,kimuga
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,6,1,p,0,p,858,297445,dukame,p,kibeno,SegmentationProc,dukame
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,7,1,p,0,p,3015,303973,gedino,p,tomubi,SegmentationProc,gedino
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,8,0,q,0,p,2164,309661,tobelu,q,nadime,SegmentationProc,tobelu
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,9,1,p,0,p,612,313797,nalobi,p,duloga,SegmentationProc,nalobi
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,10,1,q,0,q,1075,318397,kimuga,q,gekalu,SegmentationProc,kimuga
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,11,0,p,0,q,872,322781,tobelu,p,duloga,SegmentationProc,tobelu
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,12,0,q,0,p,261,326557,nalobi,q,gekalu,SegmentationProc,nalobi
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,13,1,q,0,q,291,330373,dukame,q,tomubi,SegmentationProc,dukame
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,14,1,q,0,q,959,334845,kimuga,q,kibeno,SegmentationProc,kimuga
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,15,0,p,0,q,545,338901,gedino,p,nadime,SegmentationProc,gedino
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,16,0,q,0,p,1003,343429,tobelu,q,gekalu,SegmentationProc,tobelu
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,17,1,q,0,q,466,347413,gedino,q,duloga,SegmentationProc,gedino
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,18,1,p,0,p,2390,353324,kimuga,p,tomubi,SegmentationProc,kimuga
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,19,0,p,0,q,2653,359492,nalobi,p,kibeno,SegmentationProc,nalobi
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,20,1,q,0,q,3882,366892,dukame,q,nadime,SegmentationProc,dukame
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,21,0,p,0,q,243,370660,gedino,p,gekalu,SegmentationProc,gedino
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,22,0,q,0,p,353,374540,tobelu,q,kibeno,SegmentationProc,tobelu
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,23,1,q,0,q,195,378252,nalobi,q,tomubi,SegmentationProc,nalobi
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,24,0,p,0,q,2835,384612,kimuga,p,nadime,SegmentationProc,kimuga
202,2,6,20,female,1,arabic,01/07/2018,2,SegmentationTest,25,1,p,0,p,688,388820,dukame,p,duloga,SegmentationProc,dukame
203,1,3,24,female,1,hebrew,01/07/2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,1,1,q,0,q,504,158306,tobelu,q,tomubi,SegmentationProc,tobelu
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,2,1,p,0,p,364,162186,gedino,p,kibeno,SegmentationProc,gedino
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,3,1,p,0,p,709,166418,kimuga,p,duloga,SegmentationProc,kimuga
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,4,1,q,0,q,681,170610,dukame,q,gekalu,SegmentationProc,dukame
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,5,1,q,0,q,3412,177545,nalobi,q,nadime,SegmentationProc,nalobi
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,6,1,q,0,q,481,181553,kimuga,q,gekalu,SegmentationProc,kimuga
203,2,3,24,female,1,hebrew,01/07/2018,2,SegmentationTest,7,0,p,0,q,1085,186161,dukame,p,kibeno,SegmentationProc,dukame
