soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,instr8_key_resp.keys,instr8_key_resp.rt,instr9_key_resp.keys,instr9_key_resp.rt,instr10_key_resp.keys,instr10_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
pi.wav,1,1,41,481,S,0,0,0,0,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
tu.wav,1,2,41,482,S,0,1,1,1,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
bi.wav,1,3,41,483,S,0,2,2,2,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
bu.wav,4,1,41,484,S,0,3,3,3,,,,,,,,,,,,,,,,3,0.242100485,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
pa.wav,4,2,41,485,S,0,4,4,4,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
da.wav,4,3,41,486,S,0,5,5,5,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
di.wav,2,1,41,487,S,0,6,6,6,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
ba.wav,2,2,41,488,S,0,7,7,7,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
pu.wav,2,3,41,489,S,0,8,8,8,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
ta.wav,3,1,41,490,S,0,9,9,9,,,,,,,,,,,,,,,,None,,,,,,,,,,bi,2,f008,119.9512435,1C,auditory,2018_Jan_30_1606
