instr1_key_resp.keys,instr1_key_resp.rt,instr2_key_resp.keys,instr2_key_resp.rt,instr3_key_resp.keys,instr3_key_resp.rt,instr4_key_resp.keys,instr4_key_resp.rt,Run,target,PartID,frameRate,expName,date,
space,0.913402860453,,,,,,,1,B,,60.1301318222,ssl,2017_Aug_22_1229,
,,space,0.701614515376,,,,,1,B,,60.1301318222,ssl,2017_Aug_22_1229,
,,,,space,0.752061539177,,,1,B,,60.1301318222,ssl,2017_Aug_22_1229,
,,,,,,space,2.82042922852,1,B,,60.1301318222,ssl,2017_Aug_22_1229,
