cond,sound,speaker,trial,eventcode,order
s,ba,e,37,115,264
s,ba,e,45,115,265
s,ba,e,3,115,266
bd,ba,s,49,124,267
s,ba,e,0,115,268
s,ba,e,37,115,269
s,ba,e,2,115,270
s,ba,e,15,115,271
s,ba,e,34,115,272
sd,da,e,14,214,273
s,ba,e,7,115,274
s,ba,e,5,115,275
s,ba,e,17,115,276
s,ba,e,17,115,277
sd,da,e,11,214,278
s,ba,e,2,115,279
s,ba,e,12,115,280
s,ba,e,23,115,281
s,ba,e,34,115,282
s,ba,e,40,115,283
s,ba,e,40,115,284
s,ba,e,34,115,285
s,ba,e,6,115,286
s,ba,e,26,115,287
s,ba,e,2,115,288
s,ba,e,38,115,289
bd,ba,s,22,124,290
s,ba,e,44,115,291
s,ba,e,32,115,292
s,ba,e,25,115,293
s,ba,e,3,115,294
s,ba,e,34,115,295
s,ba,e,21,115,296
s,ba,e,6,115,297
s,ba,e,29,115,298
sd,da,e,8,214,299
s,ba,e,26,115,300
s,ba,e,36,115,301
s,ba,e,4,115,302
s,ba,e,47,115,303
s,ba,e,9,115,304
s,ba,e,44,115,305
bd,ba,s,49,124,306
s,ba,e,22,115,307
s,ba,e,9,115,308
s,ba,e,20,115,309
s,ba,e,45,115,310
s,ba,e,25,115,311
s,ba,e,31,115,312
s,ba,e,21,115,313
sd,da,e,28,214,314
s,ba,e,33,115,315
s,ba,e,8,115,316
s,ba,e,19,115,317
s,ba,e,47,115,318
s,ba,e,11,115,319
s,ba,e,30,115,320
s,ba,e,12,115,321
s,ba,e,11,115,322
s,ba,e,18,115,323
sd,da,e,36,214,324
s,ba,e,1,115,325
s,ba,e,6,115,326
s,ba,e,46,115,327
s,ba,e,36,115,328
s,ba,e,31,115,329
s,ba,e,26,115,330
sd,da,e,10,214,331
s,ba,e,37,115,332
s,ba,e,1,115,333
s,ba,e,23,115,334
s,ba,e,13,115,335
s,ba,e,26,115,336
sd,da,e,36,214,337
s,ba,e,46,115,338
s,ba,e,46,115,339
s,ba,e,47,115,340
s,ba,e,16,115,341
s,ba,e,10,115,342
bd,ba,s,46,124,343
s,ba,e,15,115,344
s,ba,e,0,115,345
s,ba,e,41,115,346
s,ba,e,45,115,347
s,ba,e,35,115,348
s,ba,e,19,115,349
sd,da,e,30,214,350
s,ba,e,16,115,351
s,ba,e,20,115,352
s,ba,e,10,115,353
s,ba,e,35,115,354
s,ba,e,48,115,355
sd,da,e,25,214,356
s,ba,e,33,115,357
s,ba,e,28,115,358
s,ba,e,40,115,359
s,ba,e,25,115,360
sd,da,e,29,214,361
s,ba,e,2,115,362
s,ba,e,46,115,363
s,ba,e,5,115,364
s,ba,e,9,115,365
sd,da,e,12,214,366
s,ba,e,23,115,367
s,ba,e,47,115,368
s,ba,e,48,115,369
s,ba,e,22,115,370
