cond,sound,speaker,trial,eventcode,order
s,ba,e,25,114,1
s,ba,e,24,114,2
s,ba,e,21,114,3
bd,ba,s,38,122,4
s,ba,e,4,114,5
s,ba,e,18,114,6
sd,da,e,3,213,7
s,ba,e,42,114,8
s,ba,e,36,114,9
s,ba,e,36,114,10
bd,ba,s,35,122,11
s,ba,e,26,114,12
s,ba,e,1,114,13
s,ba,e,0,114,14
s,ba,e,5,114,15
sd,da,e,2,213,16
s,ba,e,21,114,17
s,ba,e,33,114,18
bd,ba,s,48,122,19
s,ba,e,24,114,20
s,ba,e,5,114,21
s,ba,e,32,114,22
s,ba,e,44,114,23
bd,ba,s,32,122,24
s,ba,e,45,114,25
s,ba,e,25,114,26
bd,ba,s,24,122,27
s,ba,e,17,114,28
s,ba,e,8,114,29
sd,da,e,4,213,30
s,ba,e,7,114,31
s,ba,e,9,114,32
bd,ba,s,28,122,33
s,ba,e,23,114,34
s,ba,e,1,114,35
bd,ba,s,18,122,36
s,ba,e,22,114,37
s,ba,e,42,114,38
bd,ba,s,46,122,39
s,ba,e,38,114,40
s,ba,e,29,114,41
s,ba,e,31,114,42
s,ba,e,19,114,43
s,ba,e,28,114,44
s,ba,e,42,114,45
bd,ba,s,3,122,46
s,ba,e,46,114,47
s,ba,e,3,114,48
sd,da,e,25,213,49
s,ba,e,35,114,50
s,ba,e,12,114,51
s,ba,e,3,114,52
s,ba,e,24,114,53
bd,ba,s,15,122,54
s,ba,e,27,114,55
s,ba,e,24,114,56
s,ba,e,22,114,57
s,ba,e,14,114,58
s,ba,e,41,114,59
bd,ba,s,28,122,60
s,ba,e,23,114,61
s,ba,e,27,114,62
sd,da,e,44,213,63
s,ba,e,23,114,64
s,ba,e,40,114,65
bd,ba,s,6,122,66
s,ba,e,19,114,67
s,ba,e,13,114,68
s,ba,e,36,114,69
bd,ba,s,30,122,70
s,ba,e,47,114,71
s,ba,e,9,114,72
s,ba,e,14,114,73
bd,ba,s,19,122,74
s,ba,e,34,114,75
s,ba,e,22,114,76
bd,ba,s,12,122,77
s,ba,e,19,114,78
s,ba,e,22,114,79
sd,da,e,41,213,80
s,ba,e,37,114,81
s,ba,e,32,114,82
s,ba,e,9,114,83
s,ba,e,30,114,84
sd,da,e,49,213,85
s,ba,e,22,114,86
s,ba,e,7,114,87
s,ba,e,44,114,88
s,ba,e,12,114,89
bd,ba,s,2,122,90
s,ba,e,41,114,91
s,ba,e,5,114,92
s,ba,e,16,114,93
sd,da,e,27,213,94
s,ba,e,40,114,95
s,ba,e,16,114,96
s,ba,e,11,114,97
bd,ba,s,24,122,98
s,ba,e,10,114,99
s,ba,e,14,114,100
s,ba,e,39,114,101
bd,ba,s,44,122,102
s,ba,e,48,114,103
s,ba,e,34,114,104
s,ba,e,44,114,105
s,ba,e,33,114,106
s,ba,e,4,114,107
bd,ba,s,13,122,108
s,ba,e,15,114,109
s,ba,e,14,114,110
bd,ba,s,2,122,111
s,ba,e,2,114,112
s,ba,e,47,114,113
s,ba,e,26,114,114
bd,ba,s,22,122,115
s,ba,e,11,114,116
s,ba,e,4,114,117
bd,ba,s,47,122,118
s,ba,e,35,114,119
s,ba,e,27,114,120
s,ba,e,46,114,121
s,ba,e,34,114,122
bd,ba,s,31,122,123
s,ba,e,49,114,124
s,ba,e,32,114,125
bd,ba,s,36,122,126
s,ba,e,48,114,127
s,ba,e,44,114,128
s,ba,e,23,114,129
s,ba,e,38,114,130
s,ba,e,20,114,131
bd,ba,s,5,122,132
s,ba,e,10,114,133
s,ba,e,44,114,134
sd,da,e,18,213,135
s,ba,e,47,114,136
s,ba,e,23,114,137
bd,ba,s,49,122,138
s,ba,e,22,114,139
s,ba,e,36,114,140
sd,da,e,14,213,141
s,ba,e,6,114,142
s,ba,e,35,114,143
s,ba,e,49,114,144
sd,da,e,8,213,145
s,ba,e,47,114,146
s,ba,e,21,114,147
s,ba,e,41,114,148
s,ba,e,8,114,149
bd,ba,s,40,122,150
s,ba,e,45,114,151
s,ba,e,23,114,152
s,ba,e,8,114,153
bd,ba,s,29,122,154
s,ba,e,14,114,155
s,ba,e,49,114,156
