cond,sound,speaker,trial,eventcode,order
s,ba,e,22,111,1
s,ba,e,27,111,2
s,ba,e,1,111,3
s,ba,e,30,111,4
s,ba,e,23,111,5
s,ba,e,49,111,6
s,ba,e,38,111,7
bd,da,e,13,212,8
s,ba,e,33,111,9
s,ba,e,10,111,10
bd,da,e,5,212,11
s,ba,e,22,111,12
s,ba,e,9,111,13
bd,da,e,46,212,14
s,ba,e,38,111,15
s,ba,e,31,111,16
sd,ba,s,11,123,17
s,ba,e,40,111,18
s,ba,e,11,111,19
bd,da,e,38,212,20
s,ba,e,46,111,21
s,ba,e,5,111,22
s,ba,e,18,111,23
s,ba,e,27,111,24
s,ba,e,46,111,25
s,ba,e,35,111,26
s,ba,e,40,111,27
bd,da,e,0,212,28
s,ba,e,16,111,29
s,ba,e,39,111,30
bd,da,e,2,212,31
s,ba,e,30,111,32
s,ba,e,14,111,33
sd,ba,s,18,123,34
s,ba,e,14,111,35
s,ba,e,19,111,36
sd,ba,s,37,123,37
s,ba,e,12,111,38
s,ba,e,40,111,39
bd,da,e,7,212,40
s,ba,e,26,111,41
s,ba,e,29,111,42
bd,da,e,1,212,43
s,ba,e,49,111,44
s,ba,e,5,111,45
s,ba,e,5,111,46
s,ba,e,10,111,47
s,ba,e,11,111,48
s,ba,e,24,111,49
bd,da,e,28,212,50
s,ba,e,25,111,51
s,ba,e,33,111,52
s,ba,e,11,111,53
bd,da,e,7,212,54
s,ba,e,27,111,55
s,ba,e,41,111,56
bd,da,e,33,212,57
s,ba,e,20,111,58
s,ba,e,32,111,59
bd,da,e,6,212,60
s,ba,e,47,111,61
s,ba,e,16,111,62
s,ba,e,26,111,63
sd,ba,s,38,123,64
s,ba,e,12,111,65
s,ba,e,21,111,66
s,ba,e,17,111,67
s,ba,e,8,111,68
s,ba,e,35,111,69
bd,da,e,29,212,70
s,ba,e,28,111,71
s,ba,e,2,111,72
bd,da,e,16,212,73
s,ba,e,11,111,74
s,ba,e,0,111,75
sd,ba,s,15,123,76
s,ba,e,25,111,77
s,ba,e,32,111,78
s,ba,e,19,111,79
s,ba,e,48,111,80
s,ba,e,37,111,81
sd,ba,s,41,123,82
s,ba,e,3,111,83
s,ba,e,0,111,84
s,ba,e,21,111,85
s,ba,e,17,111,86
bd,da,e,14,212,87
s,ba,e,43,111,88
s,ba,e,39,111,89
s,ba,e,10,111,90
bd,da,e,47,212,91
s,ba,e,32,111,92
s,ba,e,44,111,93
bd,da,e,21,212,94
s,ba,e,16,111,95
s,ba,e,30,111,96
s,ba,e,0,111,97
s,ba,e,40,111,98
bd,da,e,2,212,99
s,ba,e,4,111,100
s,ba,e,22,111,101
sd,ba,s,30,123,102
s,ba,e,16,111,103
s,ba,e,46,111,104
bd,da,e,47,212,105
s,ba,e,45,111,106
s,ba,e,11,111,107
s,ba,e,30,111,108
s,ba,e,14,111,109
s,ba,e,2,111,110
s,ba,e,4,111,111
s,ba,e,14,111,112
bd,da,e,5,212,113
s,ba,e,5,111,114
s,ba,e,1,111,115
s,ba,e,6,111,116
s,ba,e,12,111,117
bd,da,e,36,212,118
s,ba,e,46,111,119
s,ba,e,7,111,120
s,ba,e,28,111,121
s,ba,e,17,111,122
s,ba,e,5,111,123
s,ba,e,33,111,124
s,ba,e,29,111,125
bd,da,e,4,212,126
s,ba,e,19,111,127
s,ba,e,37,111,128
sd,ba,s,44,123,129
s,ba,e,39,111,130
s,ba,e,36,111,131
s,ba,e,47,111,132
s,ba,e,43,111,133
bd,da,e,24,212,134
s,ba,e,22,111,135
s,ba,e,6,111,136
s,ba,e,47,111,137
s,ba,e,2,111,138
s,ba,e,13,111,139
bd,da,e,21,212,140
s,ba,e,21,111,141
s,ba,e,24,111,142
s,ba,e,40,111,143
s,ba,e,29,111,144
s,ba,e,7,111,145
s,ba,e,11,111,146
s,ba,e,44,111,147
bd,da,e,11,212,148
s,ba,e,15,111,149
s,ba,e,29,111,150
sd,ba,s,35,123,151
s,ba,e,20,111,152
s,ba,e,35,111,153
s,ba,e,15,111,154
sd,ba,s,14,123,155
s,ba,e,48,111,156
s,ba,e,7,111,157
s,ba,e,5,111,158
s,ba,e,40,111,159
s,ba,e,41,111,160
s,ba,e,46,111,161
sd,ba,s,27,123,162
s,ba,e,39,111,163
s,ba,e,9,111,164
s,ba,e,33,111,165
s,ba,e,15,111,166
s,ba,e,12,111,167
bd,da,e,35,212,168
s,ba,e,7,111,169
s,ba,e,6,111,170
s,ba,e,2,111,171
s,ba,e,48,111,172
bd,da,e,22,212,173
s,ba,e,27,111,174
s,ba,e,18,111,175
sd,ba,s,12,123,176
s,ba,e,18,111,177
s,ba,e,4,111,178
sd,ba,s,10,123,179
s,ba,e,16,111,180
s,ba,e,15,111,181
sd,ba,s,45,123,182
s,ba,e,36,111,183
s,ba,e,15,111,184
s,ba,e,2,111,185
bd,da,e,32,212,186
s,ba,e,18,111,187
s,ba,e,47,111,188
sd,ba,s,46,123,189
s,ba,e,42,111,190
s,ba,e,12,111,191
s,ba,e,24,111,192
s,ba,e,4,111,193
s,ba,e,48,111,194
sd,ba,s,19,123,195
s,ba,e,1,111,196
s,ba,e,25,111,197
s,ba,e,34,111,198
bd,da,e,33,212,199
s,ba,e,3,111,200
s,ba,e,30,111,201
bd,da,e,9,212,202
s,ba,e,34,111,203
s,ba,e,5,111,204
s,ba,e,0,111,205
s,ba,e,45,111,206
sd,ba,s,20,123,207
s,ba,e,25,111,208
s,ba,e,29,111,209
bd,da,e,10,212,210
s,ba,e,17,111,211
s,ba,e,44,111,212
s,ba,e,3,111,213
s,ba,e,47,111,214
sd,ba,s,5,123,215
s,ba,e,43,111,216
s,ba,e,13,111,217
s,ba,e,10,111,218
s,ba,e,0,111,219
s,ba,e,48,111,220
bd,da,e,34,212,221
s,ba,e,36,111,222
s,ba,e,26,111,223
sd,ba,s,28,123,224
s,ba,e,47,111,225
s,ba,e,0,111,226
s,ba,e,32,111,227
bd,da,e,11,212,228
s,ba,e,30,111,229
s,ba,e,9,111,230
s,ba,e,31,111,231
s,ba,e,46,111,232
s,ba,e,44,111,233
bd,da,e,49,212,234
s,ba,e,13,111,235
s,ba,e,29,111,236
s,ba,e,46,111,237
s,ba,e,12,111,238
s,ba,e,0,111,239
s,ba,e,19,111,240
s,ba,e,38,111,241
bd,da,e,48,212,242
s,ba,e,22,111,243
s,ba,e,7,111,244
sd,ba,s,16,123,245
s,ba,e,9,111,246
s,ba,e,1,111,247
sd,ba,s,1,123,248
s,ba,e,45,111,249
s,ba,e,11,111,250
bd,da,e,17,212,251
s,ba,e,40,111,252
s,ba,e,8,111,253
sd,ba,s,29,123,254
s,ba,e,24,111,255
s,ba,e,23,111,256
s,ba,e,39,111,257
bd,da,e,1,212,258
s,ba,e,27,111,259
s,ba,e,18,111,260
s,ba,e,38,111,261
s,ba,e,15,111,262
s,ba,e,49,111,263
bd,da,e,42,212,264
s,ba,e,36,111,265
s,ba,e,31,111,266
s,ba,e,43,111,267
bd,da,e,24,212,268
s,ba,e,17,111,269
s,ba,e,4,111,270
s,ba,e,49,111,271
bd,da,e,44,212,272
s,ba,e,4,111,273
s,ba,e,0,111,274
s,ba,e,30,111,275
sd,ba,s,42,123,276
s,ba,e,44,111,277
s,ba,e,28,111,278
sd,ba,s,4,123,279
s,ba,e,28,111,280
s,ba,e,37,111,281
s,ba,e,37,111,282
sd,ba,s,9,123,283
s,ba,e,23,111,284
s,ba,e,8,111,285
s,ba,e,2,111,286
s,ba,e,41,111,287
s,ba,e,26,111,288
bd,da,e,39,212,289
s,ba,e,31,111,290
s,ba,e,18,111,291
sd,ba,s,6,123,292
s,ba,e,31,111,293
s,ba,e,39,111,294
sd,ba,s,24,123,295
s,ba,e,48,111,296
s,ba,e,23,111,297
sd,ba,s,39,123,298
s,ba,e,33,111,299
s,ba,e,34,111,300
s,ba,e,26,111,301
bd,da,e,10,212,302
s,ba,e,5,111,303
s,ba,e,3,111,304
s,ba,e,33,111,305
s,ba,e,31,111,306
bd,da,e,36,212,307
s,ba,e,30,111,308
s,ba,e,29,111,309
s,ba,e,40,111,310
s,ba,e,26,111,311
s,ba,e,41,111,312
s,ba,e,16,111,313
bd,da,e,39,212,314
s,ba,e,33,111,315
s,ba,e,21,111,316
bd,da,e,49,212,317
s,ba,e,16,111,318
s,ba,e,3,111,319
bd,da,e,45,212,320
s,ba,e,14,111,321
s,ba,e,8,111,322
s,ba,e,15,111,323
bd,da,e,29,212,324
s,ba,e,26,111,325
s,ba,e,25,111,326
s,ba,e,36,111,327
s,ba,e,37,111,328
s,ba,e,1,111,329
sd,ba,s,34,123,330
s,ba,e,27,111,331
s,ba,e,28,111,332
s,ba,e,34,111,333
sd,ba,s,36,123,334
s,ba,e,6,111,335
s,ba,e,47,111,336
sd,ba,s,23,123,337
s,ba,e,26,111,338
s,ba,e,2,111,339
sd,ba,s,3,123,340
s,ba,e,12,111,341
s,ba,e,44,111,342
bd,da,e,23,212,343
s,ba,e,49,111,344
s,ba,e,38,111,345
s,ba,e,9,111,346
bd,da,e,15,212,347
s,ba,e,44,111,348
s,ba,e,9,111,349
bd,da,e,6,212,350
s,ba,e,38,111,351
s,ba,e,48,111,352
sd,ba,s,43,123,353
s,ba,e,6,111,354
s,ba,e,43,111,355
s,ba,e,42,111,356
s,ba,e,1,111,357
sd,ba,s,31,123,358
s,ba,e,10,111,359
s,ba,e,31,111,360
s,ba,e,12,111,361
s,ba,e,23,111,362
s,ba,e,21,111,363
bd,da,e,18,212,364
s,ba,e,41,111,365
s,ba,e,40,111,366
s,ba,e,38,111,367
bd,da,e,31,212,368
s,ba,e,10,111,369
s,ba,e,23,111,370
bd,da,e,22,212,371
s,ba,e,29,111,372
s,ba,e,1,111,373
bd,da,e,43,212,374
s,ba,e,43,111,375
s,ba,e,7,111,376
bd,da,e,40,212,377
s,ba,e,8,111,378
s,ba,e,37,111,379
bd,da,e,27,212,380
s,ba,e,31,111,381
s,ba,e,35,111,382
s,ba,e,7,111,383
s,ba,e,35,111,384
s,ba,e,39,111,385
sd,ba,s,21,123,386
s,ba,e,7,111,387
s,ba,e,1,111,388
bd,da,e,43,212,389
s,ba,e,49,111,390
s,ba,e,37,111,391
s,ba,e,19,111,392
s,ba,e,44,111,393
bd,da,e,12,212,394
s,ba,e,35,111,395
s,ba,e,39,111,396
bd,da,e,25,212,397
s,ba,e,8,111,398
s,ba,e,4,111,399
s,ba,e,20,111,400
bd,da,e,8,212,401
s,ba,e,42,111,402
s,ba,e,21,111,403
bd,da,e,20,212,404
s,ba,e,27,111,405
s,ba,e,14,111,406
s,ba,e,20,111,407
s,ba,e,47,111,408
