"","ssl_a_entropy","ssl_b_entropy","ssl_c_entropy","ssl_d_entropy","part_id","mean_entropy"
"1",0.91829583405449,1,0.954434002924965,0.985228136034252,"blast_a_001",0.964
"2",0.503258334775646,0,0,0.863120568566631,"blast_a_002",0.342
"3",0.91829583405449,1,1,0,"blast_a_003",0.73
"4",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_a_004",0.983
"5",0.76420450650862,0.543564443199596,0,0.863120568566631,"blast_a_005",0.543
"6",0.91829583405449,0.543564443199596,0.811278124459133,0.863120568566631,"blast_a_006",0.784
"7",0.76420450650862,0.954434002924965,0.543564443199596,0.591672778582327,"blast_a_007",0.713
"8",0.76420450650862,0.954434002924965,0.543564443199596,0.985228136034252,"blast_a_008",0.812
"9",0.91829583405449,0.811278124459133,0.954434002924965,0.985228136034252,"blast_a_009",0.917
"10",0.91829583405449,0.811278124459133,0.954434002924965,0.863120568566631,"blast_a_010",0.887
"11",0.991076059838222,0.954434002924965,0.811278124459133,0.863120568566631,"blast_a_011",0.905
"12",0.76420450650862,0.954434002924965,1,0.863120568566631,"blast_a_013",0.895
"13",0.991076059838222,0,1,0.985228136034252,"blast_a_014",0.744
"14",0.991076059838222,0.811278124459133,0.954434002924965,0.591672778582327,"blast_a_015",0.837
"15",0.991076059838222,0.954434002924965,0.954434002924965,0.863120568566631,"blast_a_016",0.941
"16",0.991076059838222,0.954434002924965,0.543564443199596,0.591672778582327,"blast_a_017",0.77
"17",0.991076059838222,0.811278124459133,0.811278124459133,0.591672778582327,"blast_a_018",0.801
"18",0.76420450650862,0.543564443199596,0.954434002924965,0.863120568566631,"blast_a_019",0.781
"19",0.503258334775646,0.811278124459133,0.811278124459133,0.863120568566631,"blast_a_021",0.747
"20",0,0.543564443199596,0,0.863120568566631,"blast_a_022",0.352
"21",0.991076059838222,0.811278124459133,0.543564443199596,0.863120568566631,"blast_a_023",0.802
"22",0.76420450650862,0,0,0.985228136034252,"blast_a_024",0.437
"23",0.76420450650862,0.954434002924965,0.954434002924965,0.863120568566631,"blast_a_025",0.884
"24",0.991076059838222,0.811278124459133,1,0.863120568566631,"blast_a_026",0.916
"25",0.991076059838222,0.543564443199596,0.811278124459133,0.863120568566631,"blast_a_028",0.802
"26",0.991076059838222,0.811278124459133,0.954434002924965,0.985228136034252,"blast_a_030",0.936
"27",0.991076059838222,0.811278124459133,0,0.985228136034252,"blast_a_032",0.697
"28",0.543564443199596,0.543564443199596,0,0.543564443199596,"blast_a_035",0.408
"29",0.811278124459133,0.543564443199596,0.811278124459133,0.954434002924965,"blast_a_037",0.78
"30",0.811278124459133,0.543564443199596,0.543564443199596,0,"blast_a_038",0.475
"31",0.811278124459133,0.954434002924965,1,0.954434002924965,"blast_a_039",0.93
"32",0.811278124459133,1,0.811278124459133,0.954434002924965,"blast_a_040",0.894
"33",0.543564443199596,0.811278124459133,0.954434002924965,0.954434002924965,"blast_a_041",0.816
"34",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_a_042",0.954
"35",0.954434002924965,0.543564443199596,0.811278124459133,0.811278124459133,"blast_a_043",0.78
"36",0.811278124459133,0.954434002924965,0.543564443199596,0.954434002924965,"blast_a_044",0.816
"37",0.954434002924965,0.543564443199596,0.954434002924965,0.811278124459133,"blast_a_045",0.816
"38",1,0.811278124459133,0.954434002924965,0.543564443199596,"blast_a_046",0.827
"39",0.543564443199596,0,1,0.543564443199596,"blast_a_047",0.522
"40",1,0.954434002924965,0.954434002924965,0,"blast_a_048",0.727
"41",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_a_049",0.954
"42",0.954434002924965,0.543564443199596,0.954434002924965,1,"blast_a_050",0.863
"43",0.811278124459133,0.811278124459133,0.543564443199596,0.543564443199596,"blast_a_051",0.677
"44",0.954434002924965,1,0.811278124459133,1,"blast_a_052",0.941
