"","vsl_a_entropy","vsl_b_entropy","vsl_c_entropy","vsl_d_entropy","part_id","mean_entropy"
"1",0.503258334775646,0.543564443199596,0,0.985228136034252,"blast_a_003",0.508
"2",0.76420450650862,0.543564443199596,0,0,"blast_a_004",0.327
"3",0.503258334775646,0,0,0.591672778582327,"blast_a_005",0.274
"4",0.91829583405449,0.543564443199596,0.811278124459133,0.985228136034252,"blast_a_006",0.815
"5",0.503258334775646,0,0.543564443199596,0.985228136034252,"blast_a_007",0.508
"6",0.991076059838222,1,0.543564443199596,0.863120568566631,"blast_a_008",0.849
"7",0.991076059838222,0.954434002924965,0.811278124459133,0.985228136034252,"blast_a_009",0.936
"8",0.991076059838222,1,1,0.863120568566631,"blast_a_010",0.964
"9",0.91829583405449,0.543564443199596,0.543564443199596,0.863120568566631,"blast_a_011",0.717
"10",0,0,0,0,"blast_a_013",0
"11",0.503258334775646,0,0.811278124459133,0.591672778582327,"blast_a_014",0.477
"12",0.991076059838222,1,0,0,"blast_a_015",0.498
"13",0,0.811278124459133,0,0,"blast_a_016",0.203
"14",0,0,0,0.591672778582327,"blast_a_017",0.148
"15",0,0,0,0,"blast_a_018",0
"16",0,0.811278124459133,0,0.591672778582327,"blast_a_019",0.351
"17",0,0.811278124459133,0,0.985228136034252,"blast_a_020",0.449
"18",0.91829583405449,0.811278124459133,0.543564443199596,0.985228136034252,"blast_a_021",0.815
"19",0,0,0.543564443199596,0.591672778582327,"blast_a_022",0.284
"20",0.991076059838222,1,1,0.591672778582327,"blast_a_023",0.896
"21",0,0,0,0,"blast_a_024",0
"22",0.503258334775646,0,0,0,"blast_a_026",0.126
"23",0,0.811278124459133,0.543564443199596,0.591672778582327,"blast_a_027",0.487
"24",0.503258334775646,1,0.811278124459133,0.863120568566631,"blast_a_028",0.794
"25",0.991076059838222,0.543564443199596,0,0.985228136034252,"blast_a_030",0.63
"26",0,0,0,0,"blast_a_032",0
"27",0.543564443199596,0.543564443199596,0,0.954434002924965,"blast_a_035",0.51
"28",0.954434002924965,0.811278124459133,0,0.811278124459133,"blast_a_038",0.644
"29",0,0,0,0.811278124459133,"blast_a_039",0.203
"30",0,0,0,0,"blast_a_040",0
"31",0.954434002924965,0.811278124459133,0.811278124459133,0.543564443199596,"blast_a_042",0.78
"32",0.543564443199596,0.811278124459133,0.811278124459133,0.811278124459133,"blast_a_043",0.744
"33",0,0,0,0,"blast_a_044",0
"34",0,0,0,0,"blast_a_045",0
"35",0,0,0.954434002924965,0.954434002924965,"blast_a_046",0.477
"36",0.543564443199596,1,0.954434002924965,0,"blast_a_047",0.624
"37",0.954434002924965,0.811278124459133,0.954434002924965,1,"blast_a_048",0.93
"38",0,0,0.543564443199596,0,"blast_a_049",0.136
"39",0,0,0,0,"blast_a_050",0
"40",0.543564443199596,0,0,0,"blast_a_052",0.136
