"","lsl_a_entropy","lsl_b_entropy","lsl_c_entropy","lsl_d_entropy","part_id","mean_entropy"
"1",1,1,0,1,"blast_c_150",0.75
"2",1,0.954434002924965,1,0.954434002924965,"blast_c_211",0.977
"3",0,0.954434002924965,0.811278124459133,0,"blast_c_220",0.441
"4",0.811278124459133,0,0.811278124459133,0.954434002924965,"blast_c_230",0.644
"5",0.811278124459133,0,0.811278124459133,0,"blast_c_232",0.406
"6",0,0,0.543564443199596,0,"blast_c_233",0.136
"7",0.543564443199596,0.543564443199596,0.811278124459133,0.811278124459133,"blast_c_265",0.677
"8",0,0.811278124459133,0.811278124459133,0,"blast_c_267",0.406
"9",0.954434002924965,0.954434002924965,0.543564443199596,0.954434002924965,"blast_c_268",0.852
"10",0.954434002924965,0.954434002924965,0.954434002924965,0.543564443199596,"blast_c_269",0.852
"11",0.811278124459133,0.811278124459133,0.811278124459133,1,"blast_c_403",0.858
"12",1,0.954434002924965,0.954434002924965,0.543564443199596,"blast_c_406",0.863
"13",0.954434002924965,1,1,0.811278124459133,"blast_c_409",0.941
"14",0.954434002924965,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_410",0.919
"15",0.954434002924965,1,0.954434002924965,0.954434002924965,"blast_c_412",0.966
"16",0.954434002924965,0.954434002924965,0.954434002924965,1,"blast_c_418",0.966
"17",1,0.954434002924965,0.811278124459133,0.954434002924965,"blast_c_423",0.93
"18",0.811278124459133,0.954434002924965,0.543564443199596,0.954434002924965,"blast_c_427",0.816
"19",0.954434002924965,0.954434002924965,0.811278124459133,1,"blast_c_428",0.93
"20",1,0.954434002924965,0.954434002924965,1,"blast_c_429",0.977
"21",0,0.543564443199596,0,0.543564443199596,"blast_c_438",0.272
"22",0.811278124459133,0.543564443199596,0,0.811278124459133,"blast_c_439",0.542
"23",1,0.811278124459133,0.543564443199596,0.811278124459133,"blast_c_440",0.792
"24",0.811278124459133,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_444",0.919
"25",0.954434002924965,0.811278124459133,0.954434002924965,0,"blast_c_449",0.68
"26",0,0.543564443199596,0.811278124459133,0,"blast_c_450",0.339
"27",0.811278124459133,0,0.954434002924965,0.811278124459133,"blast_c_451",0.644
"28",0.954434002924965,0.543564443199596,0.954434002924965,1,"blast_c_454",0.863
"29",1,0.543564443199596,1,1,"blast_c_457",0.886
"30",0.954434002924965,1,0.954434002924965,0.954434002924965,"blast_c_461",0.966
"31",1,1,0.811278124459133,0.811278124459133,"blast_c_462",0.906
"32",0.954434002924965,0.811278124459133,0.811278124459133,0.954434002924965,"blast_c_467",0.883
"33",1,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_469",0.93
"34",0.954434002924965,1,1,0.954434002924965,"blast_c_470",0.977
"35",0.543564443199596,0.543564443199596,0.954434002924965,0,"blast_c_471",0.51
"36",1,0.954434002924965,0.954434002924965,0.811278124459133,"blast_c_475",0.93
"37",0,0.811278124459133,0.811278124459133,0,"blast_c_476",0.406
"38",0.503258334775646,0.811278124459133,0.543564443199596,0.591672778582327,"blast_c_168",0.612
"39",0.991076059838222,0.954434002924965,0.811278124459133,0.985228136034252,"blast_c_170",0.936
"40",0.91829583405449,0.954434002924965,0.543564443199596,0.985228136034252,"blast_c_193",0.85
"41",0.991076059838222,0.543564443199596,0.954434002924965,0.985228136034252,"blast_c_198",0.869
"42",0.91829583405449,0.954434002924965,1,0.985228136034252,"blast_c_204",0.964
"43",0.991076059838222,1,1,0.985228136034252,"blast_c_206",0.994
"44",0.991076059838222,0.543564443199596,0.954434002924965,0.985228136034252,"blast_c_209",0.869
"45",0.91829583405449,0.954434002924965,0.543564443199596,0.863120568566631,"blast_c_210",0.82
"46",0,0.811278124459133,0.954434002924965,0.863120568566631,"blast_c_213",0.657
"47",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_216",0.983
