"","lsl_a_entropy","lsl_b_entropy","lsl_c_entropy","lsl_d_entropy","part_id","mean_entropy"
"1",0.811278124459133,1,0.954434002924965,0.954434002924965,"blast_c_002",0.93
"2",0.811278124459133,0,0.543564443199596,0.811278124459133,"blast_c_009",0.542
"3",1,0.954434002924965,0.954434002924965,1,"blast_c_019",0.977
"4",1,1,1,1,"blast_c_028",1
"5",0.954434002924965,0.811278124459133,0.954434002924965,1,"blast_c_034",0.93
"6",0,0.954434002924965,0.811278124459133,0.811278124459133,"blast_c_036",0.644
"7",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_038",0.954
"8",0,0.543564443199596,0.811278124459133,0.811278124459133,"blast_c_045",0.542
"9",1,0.954434002924965,1,0.954434002924965,"blast_c_059",0.977
"10",0.954434002924965,1,1,1,"blast_c_061",0.989
"11",0.954434002924965,0.811278124459133,0.954434002924965,0.543564443199596,"blast_c_071",0.816
"12",0.954434002924965,0.543564443199596,1,0.954434002924965,"blast_c_073",0.863
"13",0.954434002924965,1,0.811278124459133,0.811278124459133,"blast_c_088",0.894
"14",0.811278124459133,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_092",0.883
"15",0.954434002924965,0,0.811278124459133,0.811278124459133,"blast_c_095",0.644
"16",0.954434002924965,0.543564443199596,0.954434002924965,0.954434002924965,"blast_c_096",0.852
"17",0.811278124459133,0.954434002924965,1,0.954434002924965,"blast_c_097",0.93
"18",1,0.954434002924965,1,1,"blast_c_109",0.989
"19",1,0.954434002924965,0.811278124459133,1,"blast_c_112",0.941
"20",0.543564443199596,1,0.811278124459133,1,"blast_c_118",0.839
"21",1,0.811278124459133,1,0.543564443199596,"blast_c_122",0.839
"22",0,0,1,0.811278124459133,"blast_c_124",0.453
"23",0,0.543564443199596,0,0,"blast_c_147",0.136
"24",0.954434002924965,1,1,0.811278124459133,"blast_c_149",0.941
