"","tsl_a_entropy","tsl_b_entropy","tsl_c_entropy","tsl_d_entropy","part_id","mean_entropy"
"1",0.991076059838222,0.811278124459133,0.954434002924965,0.591672778582327,"blast_c_002",0.837
"2",0,0,0.543564443199596,0,"blast_c_009",0.136
"3",0.91829583405449,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_019",0.953
"4",0.991076059838222,1,1,0.985228136034252,"blast_c_034",0.994
"5",0.991076059838222,0.811278124459133,0.954434002924965,0.863120568566631,"blast_c_036",0.905
"6",0.76420450650862,0.543564443199596,0.543564443199596,0.591672778582327,"blast_c_038",0.611
"7",0.503258334775646,0.811278124459133,0,0,"blast_c_045",0.329
"8",0.991076059838222,0.811278124459133,0.811278124459133,0.863120568566631,"blast_c_059",0.869
"9",0.76420450650862,1,1,0.591672778582327,"blast_c_061",0.839
"10",0.91829583405449,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_064",0.953
"11",0.991076059838222,0.811278124459133,0.811278124459133,0.985228136034252,"blast_c_071",0.9
"12",0.991076059838222,0.954434002924965,1,0.863120568566631,"blast_c_073",0.952
"13",0.991076059838222,0.543564443199596,1,0.863120568566631,"blast_c_081",0.849
"14",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_085",0.983
"15",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_088",0.983
"16",0.76420450650862,0.954434002924965,0.954434002924965,0.591672778582327,"blast_c_092",0.816
"17",0.991076059838222,0.811278124459133,0.954434002924965,0.863120568566631,"blast_c_095",0.905
"18",0.91829583405449,0,0.543564443199596,0.985228136034252,"blast_c_097",0.612
"19",0.76420450650862,0.811278124459133,0.954434002924965,0.863120568566631,"blast_c_106",0.848
"20",0.991076059838222,0.811278124459133,0.811278124459133,0.985228136034252,"blast_c_109",0.9
"21",0.991076059838222,1,0.954434002924965,0.985228136034252,"blast_c_118",0.983
"22",0.991076059838222,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_119",0.971
"23",0.76420450650862,1,1,0.863120568566631,"blast_c_122",0.907
"24",0,1,0.811278124459133,0,"blast_c_124",0.453
"25",0.76420450650862,1,0.543564443199596,0.985228136034252,"blast_c_126",0.823
"26",0.91829583405449,1,0.543564443199596,0.985228136034252,"blast_c_136",0.862
"27",0.991076059838222,1,0.811278124459133,0.985228136034252,"blast_c_138",0.947
"28",0.91829583405449,0.811278124459133,0.811278124459133,0.985228136034252,"blast_c_147",0.882
"29",0.91829583405449,1,0.954434002924965,0.985228136034252,"blast_c_149",0.964
"30",0.91829583405449,0.954434002924965,0.954434002924965,0.863120568566631,"blast_c_164",0.923
"31",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_168",0.983
"32",0.91829583405449,0.543564443199596,0.811278124459133,0.985228136034252,"blast_c_193",0.815
"33",0.91829583405449,0.811278124459133,1,0.985228136034252,"blast_c_204",0.929
"34",0.76420450650862,0.811278124459133,0.811278124459133,0.985228136034252,"blast_c_206",0.843
"35",0.991076059838222,0.954434002924965,0.811278124459133,0.985228136034252,"blast_c_209",0.936
"36",0.991076059838222,0.954434002924965,0.954434002924965,0.863120568566631,"blast_c_210",0.941
"37",0.91829583405449,0.954434002924965,1,0.591672778582327,"blast_c_213",0.866
"38",0.991076059838222,0.954434002924965,1,0.863120568566631,"blast_c_216",0.952
"39",0.954434002924965,0.811278124459133,0.954434002924965,0.954434002924965,"blast_c_101",0.919
"40",0.954434002924965,1,0.954434002924965,0.811278124459133,"blast_c_150",0.93
"41",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_211",0.954
"42",0.811278124459133,0.543564443199596,0.954434002924965,0.543564443199596,"blast_c_220",0.713
"43",1,0.954434002924965,1,0.954434002924965,"blast_c_230",0.977
"44",0.543564443199596,1,0.543564443199596,0.954434002924965,"blast_c_232",0.76
"45",1,0.811278124459133,1,0.811278124459133,"blast_c_233",0.906
