"","ssl_a_entropy","ssl_b_entropy","ssl_c_entropy","ssl_d_entropy","part_id","mean_entropy"
"1",0.991076059838222,0.811278124459133,1,0.863120568566631,"blast_c_002",0.916
"2",0.991076059838222,0.811278124459133,1,0.985228136034252,"blast_c_019",0.947
"3",0.991076059838222,1,0,0.591672778582327,"blast_c_028",0.646
"4",0.91829583405449,0.954434002924965,1,0,"blast_c_034",0.718
"5",0.91829583405449,0.811278124459133,0.954434002924965,0.985228136034252,"blast_c_036",0.917
"6",0.76420450650862,0.954434002924965,1,0.863120568566631,"blast_c_038",0.895
"7",0.91829583405449,1,1,0.985228136034252,"blast_c_045",0.976
"8",0.91829583405449,0.954434002924965,1,0.863120568566631,"blast_c_059",0.934
"9",0.76420450650862,0.954434002924965,0.543564443199596,0.863120568566631,"blast_c_061",0.781
"10",0.991076059838222,0.811278124459133,0.954434002924965,0.591672778582327,"blast_c_071",0.837
"11",0.91829583405449,0.954434002924965,1,0.863120568566631,"blast_c_073",0.934
"12",0.991076059838222,0.954434002924965,0.543564443199596,0.985228136034252,"blast_c_081",0.869
"13",0.76420450650862,0.811278124459133,0.543564443199596,0.591672778582327,"blast_c_085",0.678
"14",0.91829583405449,0.543564443199596,0.954434002924965,0.985228136034252,"blast_c_088",0.85
"15",0.991076059838222,1,0.811278124459133,0.985228136034252,"blast_c_092",0.947
"16",0.91829583405449,0.811278124459133,1,0.985228136034252,"blast_c_095",0.929
"17",0.991076059838222,0.954434002924965,0.543564443199596,0.863120568566631,"blast_c_096",0.838
"18",0.76420450650862,0.811278124459133,0.811278124459133,0.863120568566631,"blast_c_097",0.812
"19",0.91829583405449,0.811278124459133,0.954434002924965,0.985228136034252,"blast_c_109",0.917
"20",0.91829583405449,0.954434002924965,0.811278124459133,0.985228136034252,"blast_c_121",0.917
"21",0.91829583405449,0.811278124459133,0.811278124459133,0,"blast_c_124",0.635
"22",0.991076059838222,1,0.954434002924965,0.985228136034252,"blast_c_147",0.983
"23",0.91829583405449,0.954434002924965,0.954434002924965,0.863120568566631,"blast_c_149",0.923
"24",0.991076059838222,1,0.811278124459133,0.985228136034252,"blast_c_165",0.947
"25",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_168",0.983
"26",0.991076059838222,1,0,0.985228136034252,"blast_c_186",0.744
"27",0.76420450650862,0.954434002924965,0.954434002924965,0.863120568566631,"blast_c_193",0.884
"28",0.991076059838222,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_204",0.971
"29",0.991076059838222,0,0.811278124459133,0.985228136034252,"blast_c_206",0.697
"30",0.991076059838222,0.543564443199596,0.543564443199596,0.985228136034252,"blast_c_207",0.766
"31",0.991076059838222,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_209",0.971
"32",0.991076059838222,0.954434002924965,1,0.985228136034252,"blast_c_210",0.983
"33",0.991076059838222,1,0.954434002924965,0.985228136034252,"blast_c_213",0.983
"34",0.991076059838222,1,0.954434002924965,0.591672778582327,"blast_c_216",0.884
"35",0.91829583405449,0.954434002924965,0.954434002924965,0.985228136034252,"blast_c_471",0.953
"36",1,0.543564443199596,0.811278124459133,0.954434002924965,"blast_c_150",0.827
"37",1,1,1,1,"blast_c_220",1
"38",1,0.811278124459133,1,1,"blast_c_224",0.953
"39",0.954434002924965,0.954434002924965,0.954434002924965,0.954434002924965,"blast_c_231",0.954
"40",1,0.543564443199596,0.954434002924965,0.811278124459133,"blast_c_232",0.827
"41",1,0.811278124459133,0.543564443199596,0.543564443199596,"blast_c_233",0.725
"42",1,0.954434002924965,1,0.543564443199596,"blast_c_265",0.874
"43",0.954434002924965,0,0.954434002924965,0.954434002924965,"blast_c_267",0.716
"44",1,1,0.954434002924965,0.954434002924965,"blast_c_268",0.977
"45",1,0.543564443199596,0.954434002924965,1,"blast_c_406",0.874
"46",0.954434002924965,0,0.543564443199596,1,"blast_c_409",0.624
