"","acc_id","subj_corr"
"1","blast_c_150",0
"2","blast_c_211",0
"3","blast_c_220",0
"4","blast_c_230",0
"5","blast_c_232",0
"6","blast_c_233",0
"7","blast_c_265",0
"8","blast_c_267",0
"9","blast_c_268",0
"10","blast_c_269",0
"11","blast_c_403",0
"12","blast_c_406",0
"13","blast_c_409",0
"14","blast_c_410",0
"15","blast_c_412",0
"16","blast_c_418",0
"17","blast_c_423",0
"18","blast_c_427",0
"19","blast_c_428",0
"20","blast_c_429",0
"21","blast_c_438",0
"22","blast_c_439",0
"23","blast_c_440",0
"24","blast_c_444",0
"25","blast_c_449",0
"26","blast_c_450",0
"27","blast_c_451",0
"28","blast_c_454",0
"29","blast_c_457",0
"30","blast_c_461",0
"31","blast_c_462",0
"32","blast_c_467",0
"33","blast_c_469",0
"34","blast_c_470",0
"35","blast_c_471",0
"36","blast_c_475",0
"37","blast_c_476",0
"38","blast_c_478",0
"39","blast_c_479",0
"40","blast_c_481",0
"41","blast_c_483",0
"42","blast_c_484",0
"43","blast_c_485",0
"44","blast_c_487",0
"45","blast_c_488",0
"46","blast_c_491",0
"47","blast_c_493",0
"48","blast_c_497",0
"49","blast_c_498",0
"50","blast_c_499",0
"51","blast_c_503",0
"52","blast_c_512",0
"53","blast_c_520",0
"54","blast_c_522",0
"55","blast_c_540",0
"56","blast_c_549",0
"57","blast_c_554",0
"58","blast_c_555",0
"59","blast_c_168",0.469
"60","blast_c_170",0.531
"61","blast_c_193",0.406
"62","blast_c_198",0.656
"63","blast_c_204",0.5
"64","blast_c_206",0.531
"65","blast_c_209",0.625
"66","blast_c_210",0.625
"67","blast_c_213",0.562
"68","blast_c_216",0.5
