"","trial","reaction_time","id","targ_index"
"151",143,594,"blast_a_037_lsl",7
"152",173,375,"blast_a_037_lsl",8
"153",191,382,"blast_a_037_lsl",9
"154",227,431,"blast_a_037_lsl",10
"155",251,713,"blast_a_037_lsl",11
"156",281,432,"blast_a_037_lsl",12
"157",311,376,"blast_a_037_lsl",13
"158",329,373,"blast_a_037_lsl",14
"159",359,411,"blast_a_037_lsl",15
"160",377,423,"blast_a_037_lsl",16
"161",389,385,"blast_a_037_lsl",17
"162",413,379,"blast_a_037_lsl",18
"163",437,424,"blast_a_037_lsl",19
"164",473,688,"blast_a_037_lsl",20
"165",485,NA,"blast_a_037_lsl",21
"166",503,474,"blast_a_037_lsl",22
"167",527,527,"blast_a_037_lsl",23
"168",569,610,"blast_a_037_lsl",24
"169",5,523,"blast_a_038_lsl",1
"170",35,620,"blast_a_038_lsl",2
"171",59,405,"blast_a_038_lsl",3
"172",101,741,"blast_a_038_lsl",4
"173",137,713,"blast_a_038_lsl",5
"174",161,654,"blast_a_038_lsl",6
"175",179,1016,"blast_a_038_lsl",7
"176",209,547,"blast_a_038_lsl",8
"177",245,749,"blast_a_038_lsl",9
"178",257,485,"blast_a_038_lsl",10
"179",269,608,"blast_a_038_lsl",11
"180",293,670,"blast_a_038_lsl",12
"181",317,482,"blast_a_038_lsl",13
"182",335,1073,"blast_a_038_lsl",14
"183",365,464,"blast_a_038_lsl",15
"184",407,692,"blast_a_038_lsl",16
"185",425,1063,"blast_a_038_lsl",17
"186",443,251,"blast_a_038_lsl",18
"187",467,414,"blast_a_038_lsl",19
"188",491,493,"blast_a_038_lsl",20
"189",509,80,"blast_a_038_lsl",21
"190",533,130,"blast_a_038_lsl",22
"191",557,360,"blast_a_038_lsl",23
"192",575,471,"blast_a_038_lsl",24
"193",11,1163,"blast_a_039_lsl",1
"194",29,433,"blast_a_039_lsl",2
"195",41,713,"blast_a_039_lsl",3
"196",71,NA,"blast_a_039_lsl",4
"197",83,428,"blast_a_039_lsl",5
"198",119,456,"blast_a_039_lsl",6
"199",155,596,"blast_a_039_lsl",7
"200",185,631,"blast_a_039_lsl",8
"201",197,537,"blast_a_039_lsl",9
"202",215,604,"blast_a_039_lsl",10
"203",233,507,"blast_a_039_lsl",11
"204",263,477,"blast_a_039_lsl",12
"205",287,636,"blast_a_039_lsl",13
"206",305,389,"blast_a_039_lsl",14
"207",347,539,"blast_a_039_lsl",15
"208",371,352,"blast_a_039_lsl",16
"209",395,234,"blast_a_039_lsl",17
"210",431,459,"blast_a_039_lsl",18
"211",455,323,"blast_a_039_lsl",19
"212",479,624,"blast_a_039_lsl",20
"213",521,462,"blast_a_039_lsl",21
"214",539,487,"blast_a_039_lsl",22
"215",551,403,"blast_a_039_lsl",23
"216",563,407,"blast_a_039_lsl",24
"217",17,498,"blast_a_040_lsl",1
"218",53,419,"blast_a_040_lsl",2
"219",77,537,"blast_a_040_lsl",3
"220",95,646,"blast_a_040_lsl",4
"221",107,521,"blast_a_040_lsl",5
"222",131,460,"blast_a_040_lsl",6
"223",143,630,"blast_a_040_lsl",7
"224",173,559,"blast_a_040_lsl",8
"225",191,NA,"blast_a_040_lsl",9
"226",227,471,"blast_a_040_lsl",10
"227",251,469,"blast_a_040_lsl",11
"228",281,606,"blast_a_040_lsl",12
"229",311,598,"blast_a_040_lsl",13
"230",329,460,"blast_a_040_lsl",14
"231",359,485,"blast_a_040_lsl",15
"232",377,464,"blast_a_040_lsl",16
"233",389,616,"blast_a_040_lsl",17
"234",413,640,"blast_a_040_lsl",18
"235",437,588,"blast_a_040_lsl",19
"236",473,497,"blast_a_040_lsl",20
"237",485,485,"blast_a_040_lsl",21
"238",503,631,"blast_a_040_lsl",22
"239",527,594,"blast_a_040_lsl",23
"240",569,543,"blast_a_040_lsl",24
"241",23,584,"blast_a_041_lsl",1
"242",47,594,"blast_a_041_lsl",2
