soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
3B.wav,0,1,1,16,R,,,,,0,15,15,15,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0,2,1,17,R,,,,,0,16,16,16,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4A.wav,0,3,1,18,R,,,,,0,17,17,17,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3A.wav,0,1,1,19,R,,,,,0,18,18,18,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4C.wav,0,2,1,20,R,,,,,0,19,19,19,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
3C.wav,0,3,1,21,R,,,,,0,20,20,20,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
4B.wav,0,1,1,22,R,,,,,0,21,21,21,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1A.wav,0,2,1,23,R,,,,,0,22,22,22,,,None,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
1B.wav,0,3,1,24,R,,,,,0,23,23,23,,,2,0.0675068440614,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,2,25,S,0,0,0,0,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,2,26,S,0,1,1,1,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,2,27,S,0,2,2,2,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
di.wav,2,1,3,28,S,0,3,3,3,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ba.wav,2,2,3,29,S,0,4,4,4,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pu.wav,2,3,3,30,S,0,5,5,5,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,3,31,S,0,6,6,6,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,3,32,S,0,7,7,7,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,3,33,S,0,8,8,8,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,3,34,S,0,9,9,9,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,3,35,S,0,10,10,10,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,3,36,S,0,11,11,11,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,4,37,S,0,12,12,12,,,,,2,0.234742878005,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,4,38,S,0,13,13,13,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,4,39,S,0,14,14,14,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,4,40,S,0,15,15,15,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,4,41,S,0,16,16,16,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,4,42,S,0,17,17,17,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,5,43,S,0,18,18,18,,,,,2,0.283722140011,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,5,44,S,0,19,19,19,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bi.wav,1,3,5,45,S,0,20,20,20,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
bu.wav,4,1,4,46,S,0,21,21,21,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pa.wav,4,2,4,47,S,0,22,22,22,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
da.wav,4,3,4,48,S,0,23,23,23,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,24,24,24,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,25,25,25,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,26,26,26,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,27,27,27,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,28,28,28,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,29,29,29,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,30,30,30,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,31,31,31,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,32,32,32,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,33,33,33,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,34,34,34,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
silence.wav,0,0,0,0,B,0,35,35,35,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
di.wav,2,1,4,49,S,0,36,36,36,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ba.wav,2,2,4,50,S,0,37,37,37,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pu.wav,2,3,4,51,S,0,38,38,38,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ta.wav,3,1,5,52,S,0,39,39,39,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
ti.wav,3,2,5,53,S,0,40,40,40,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
du.wav,3,3,5,54,S,0,41,41,41,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
pi.wav,1,1,6,55,S,0,42,42,42,,,,,2,0.368164361804,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
tu.wav,1,2,6,56,S,0,43,43,43,,,,,None,,,,du,1,007,60.0093306906,2C,auditory,2017_Nov_01_1130,
