soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,random_block_key_resp.keys,random_block_key_resp.rt,structured_block_key_resp.keys,structured_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
2A.wav,4,1,19,223,S,,,,,0,6,6,6,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2B.wav,4,2,19,224,S,,,,,0,7,7,7,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2C.wav,4,3,19,225,S,,,,,0,8,8,8,,,4,0.200243370142,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1A.wav,2,1,19,226,S,,,,,0,9,9,9,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1B.wav,2,2,19,227,S,,,,,0,10,10,10,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1C.wav,2,3,19,228,S,,,,,0,11,11,11,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2A.wav,4,1,20,229,S,,,,,0,12,12,12,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2B.wav,4,2,20,230,S,,,,,0,13,13,13,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
2C.wav,4,3,20,231,S,,,,,0,14,14,14,,,4,0.100181702757,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
4A.wav,3,1,20,232,S,,,,,0,15,15,15,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
4B.wav,3,2,20,233,S,,,,,0,16,16,16,,,4,0.366956780432,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
4C.wav,3,3,20,234,S,,,,,0,17,17,17,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
3A.wav,1,1,20,235,S,,,,,0,18,18,18,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
3B.wav,1,2,20,236,S,,,,,0,19,19,19,,,4,0.283591968706,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
3C.wav,1,3,20,237,S,,,,,0,20,20,20,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1A.wav,2,1,20,238,S,,,,,0,21,21,21,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1B.wav,2,2,20,239,S,,,,,0,22,22,22,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
1C.wav,2,3,20,240,S,,,,,0,23,23,23,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,24,24,24,,,4,0.150244109565,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,25,25,25,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,26,26,26,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,27,27,27,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,28,28,28,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,29,29,29,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,30,30,30,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,31,31,31,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,32,32,32,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,33,33,33,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,34,34,34,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
silence.wav,0,0,0,0,B,,,,,0,35,35,35,,,None,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ti.wav,0,1,1,241,R,0,0,0,0,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ba.wav,0,2,1,242,R,0,1,1,1,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
di.wav,0,3,1,243,R,0,2,2,2,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pu.wav,0,1,1,244,R,0,3,3,3,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
pu.wav,0,2,1,245,R,0,4,4,4,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ba.wav,0,3,1,246,R,0,5,5,5,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
du.wav,0,1,1,247,R,0,6,6,6,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
bi.wav,0,2,1,248,R,0,7,7,7,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
bi.wav,0,3,1,249,R,0,8,8,8,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ta.wav,0,1,1,250,R,0,9,9,9,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ta.wav,0,2,1,251,R,0,10,10,10,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
ba.wav,0,3,1,252,R,0,11,11,11,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
da.wav,0,1,1,253,R,0,12,12,12,,,,,None,,,,da,5,005,119.966968415,1C,auditory,2017_Oct_31_1003,
