soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
du.wav,0,1,1,4,R,,,,,0,3,3,3,,,4,0.316942444537,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ba.wav,0,2,1,5,R,,,,,0,4,4,4,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,3,1,6,R,,,,,0,5,5,5,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,1,1,7,R,,,,,0,6,6,6,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,2,1,8,R,,,,,0,7,7,7,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bu.wav,0,3,1,9,R,,,,,0,8,8,8,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ta.wav,0,1,1,10,R,,,,,0,9,9,9,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
di.wav,0,2,1,11,R,,,,,0,10,10,10,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pi.wav,0,3,1,12,R,,,,,0,11,11,11,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
du.wav,0,1,1,13,R,,,,,0,12,12,12,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,2,1,14,R,,,,,0,13,13,13,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ti.wav,0,3,1,15,R,,,,,0,14,14,14,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,1,1,16,R,,,,,0,15,15,15,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bi.wav,0,2,1,17,R,,,,,0,16,16,16,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pu.wav,0,3,1,18,R,,,,,0,17,17,17,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
tu.wav,0,1,1,19,R,,,,,0,18,18,18,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
ba.wav,0,2,1,20,R,,,,,0,19,19,19,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
di.wav,0,3,1,21,R,,,,,0,20,20,20,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pa.wav,0,1,1,22,R,,,,,0,21,21,21,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
pu.wav,0,2,1,23,R,,,,,0,22,22,22,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
bi.wav,0,3,1,24,R,,,,,0,23,23,23,,,None,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,2,25,S,0,0,0,0,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,2,26,S,0,1,1,1,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,2,27,S,0,2,2,2,,,,,4,0.300271473359,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1A.wav,2,1,3,28,S,0,3,3,3,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1B.wav,2,2,3,29,S,0,4,4,4,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
1C.wav,2,3,3,30,S,0,5,5,5,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,3,31,S,0,6,6,6,,,,,4,0.116894771578,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,3,32,S,0,7,7,7,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,3,33,S,0,8,8,8,,,,,4,0.333577006822,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,3,34,S,0,9,9,9,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,3,35,S,0,10,10,10,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,3,36,S,0,11,11,11,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,4,37,S,0,12,12,12,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,4,38,S,0,13,13,13,,,,,4,0.133574845036,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,4,39,S,0,14,14,14,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4A.wav,3,1,4,40,S,0,15,15,15,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4B.wav,3,2,4,41,S,0,16,16,16,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
4C.wav,3,3,4,42,S,0,17,17,17,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3A.wav,1,1,5,43,S,0,18,18,18,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3B.wav,1,2,5,44,S,0,19,19,19,,,,,4,0.116877136054,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
3C.wav,1,3,5,45,S,0,20,20,20,,,,,4,0.00842209882103,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2A.wav,4,1,4,46,S,0,21,21,21,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2B.wav,4,2,4,47,S,0,22,22,22,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
2C.wav,4,3,4,48,S,0,23,23,23,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,24,24,24,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,25,25,25,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,26,26,26,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,27,27,27,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,28,28,28,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,29,29,29,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
silence.wav,0,0,0,0,B,0,30,30,30,,,,,None,,,,da,4,005,123.819070115,1C,auditory,2017_Oct_31_0958,
