word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
3,2,G.png,3,35,S,0,34,34,34,,,,,,,,,4,0.958792556776,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,3,36,S,0,35,35,35,,,,,,,,,4,0.775496945484,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,4,37,S,0,36,36,36,,,,,,,,,3,0.325365859317,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,4,38,S,0,37,37,37,,,,,,,,,3,0.717181600921,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,4,39,S,0,38,38,38,,,,,,,,,3,0.983808293648,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,4,40,S,0,39,39,39,,,,,,,,,4,0.558864464285,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,4,41,S,0,40,40,40,,,,,,,,,3,0.817047144054,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,4,42,S,0,41,41,41,,,,,,,,,4,0.358618818223,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,5,43,S,0,42,42,42,,,,,,,,,4,0.375300622021,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,5,44,S,0,43,43,43,,,,,,,,,4,0.450426339288,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,5,45,S,0,44,44,44,,,,,,,,,4,0.650340892258,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,1,E.png,4,46,S,0,45,45,45,,,,,,,,,4,0.792082891567,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,2,L.png,4,47,S,0,46,46,46,,,,,,,,,3,0.567033419618,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
4,3,H.png,4,48,S,0,47,47,47,,,,,,,,,3,0.692131446209,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,0,0,0,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,1,1,1,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,2,2,2,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,3,3,3,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,4,4,4,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,5,5,5,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,6,6,6,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,7,7,7,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,8,8,8,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,9,9,9,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,10,10,10,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,11,11,11,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien9.bmp,1,1,R,,,,,,,,,0,0,0,0,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien6.bmp,1,2,R,,,,,,,,,0,1,1,1,,,,4,0.483743582561,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,3,Alien5.bmp,1,3,R,,,,,,,,,0,2,2,2,,,,None,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,1,Alien12.bmp,1,4,R,,,,,,,,,0,3,3,3,,,,3,0.323907513462,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,2,Alien2.bmp,1,5,R,,,,,,,,,0,4,4,4,,,,3,0.467063200951,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
