word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,v_block_trial_key_resp.keys,date,expName,frameRate,PartID,
0,1,Alien20.png,1,241,R,,,,,0,0,0,0,None,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien8.png,1,242,R,,,,,0,1,1,1,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien19.png,1,243,R,,,,,0,2,2,2,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien8.png,1,244,R,,,,,0,3,3,3,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien4.png,1,245,R,,,,,0,4,4,4,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien17.png,1,246,R,,,,,0,5,5,5,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien5.png,1,247,R,,,,,0,6,6,6,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien4.png,1,248,R,,,,,0,7,7,7,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien8.png,1,249,R,,,,,0,8,8,8,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien24.png,1,250,R,,,,,0,9,9,9,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien12.png,1,251,R,,,,,0,10,10,10,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien12.png,1,252,R,,,,,0,11,11,11,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien16.png,1,253,R,,,,,0,12,12,12,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien17.png,1,254,R,,,,,0,13,13,13,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien19.png,1,255,R,,,,,0,14,14,14,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien20.png,1,256,R,,,,,0,15,15,15,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien3.png,1,257,R,,,,,0,16,16,16,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,3,Alien11.png,1,258,R,,,,,0,17,17,17,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,1,Alien19.png,1,259,R,,,,,0,18,18,18,,None,2018_Feb_09_1351,lv,119.946741342,1,
0,2,Alien16.png,1,260,R,,,,,0,19,19,19,,None,2018_Feb_09_1351,lv,119.946741342,1,
