word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,blank_block_trial_key_resp.rt,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,1,Alien9.bmp,1,1,R,,,,,,,,,0,0,0,0,,,,,3,0.0455226826016,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien6.bmp,1,2,R,,,,,,,,,0,1,1,1,,,,,3,0.591962981503,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien5.bmp,1,3,R,,,,,,,,,0,2,2,2,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien12.bmp,1,4,R,,,,,,,,,0,3,3,3,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien2.bmp,1,5,R,,,,,,,,,0,4,4,4,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien3.bmp,1,6,R,,,,,,,,,0,5,5,5,,,,,3,0.416868147673,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien5.bmp,1,7,R,,,,,,,,,0,6,6,6,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien11.bmp,1,8,R,,,,,,,,,0,7,7,7,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien8.bmp,1,9,R,,,,,,,,,0,8,8,8,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien4.bmp,1,10,R,,,,,,,,,0,9,9,9,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien12.bmp,1,11,R,,,,,,,,,0,10,10,10,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien10.bmp,1,12,R,,,,,,,,,0,11,11,11,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien6.bmp,1,13,R,,,,,,,,,0,12,12,12,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien5.bmp,1,14,R,,,,,,,,,0,13,13,13,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien1.bmp,1,15,R,,,,,,,,,0,14,14,14,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien1.bmp,1,16,R,,,,,,,,,0,15,15,15,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien11.bmp,1,17,R,,,,,,,,,0,16,16,16,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien10.bmp,1,18,R,,,,,,,,,0,17,17,17,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien3.bmp,1,19,R,,,,,,,,,0,18,18,18,,,,,3,0.375200532842,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien2.bmp,1,20,R,,,,,,,,,0,19,19,19,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien6.bmp,1,21,R,,,,,,,,,0,20,20,20,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,1,Alien4.bmp,1,22,R,,,,,,,,,0,21,21,21,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,2,Alien7.bmp,1,23,R,,,,,,,,,0,22,22,22,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,3,Alien4.bmp,1,24,R,,,,,,,,,0,23,23,23,,,,,None,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,1,E.png,2,25,S,0,0,0,0,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,2,L.png,2,26,S,0,1,1,1,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,3,H.png,2,27,S,0,2,2,2,,,,,,,,,3,0.664181859931,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
2,1,A.png,3,28,S,0,3,3,3,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
2,2,J.png,3,29,S,0,4,4,4,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
2,3,F.png,3,30,S,0,5,5,5,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,1,E.png,3,31,S,0,6,6,6,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,2,L.png,3,32,S,0,7,7,7,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,3,H.png,3,33,S,0,8,8,8,,,,,,,,,3,0.389223047299,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,1,D.png,3,34,S,0,9,9,9,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,2,G.png,3,35,S,0,10,10,10,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,3,C.png,3,36,S,0,11,11,11,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,1,M.png,4,37,S,0,12,12,12,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,2,K.png,4,38,S,0,13,13,13,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,3,B.png,4,39,S,0,14,14,14,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,1,D.png,4,40,S,0,15,15,15,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,2,G.png,4,41,S,0,16,16,16,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
3,3,C.png,4,42,S,0,17,17,17,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,1,M.png,5,43,S,0,18,18,18,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,2,K.png,5,44,S,0,19,19,19,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
1,3,B.png,5,45,S,0,20,20,20,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,1,E.png,4,46,S,0,21,21,21,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,2,L.png,4,47,S,0,22,22,22,,,,,,,,,None,,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
4,3,H.png,4,48,S,0,23,23,23,,,,,,,,,3,0.364480696619,,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,0,blank.png,0,0,B,,,,,0,0,0,0,,,,,,,None,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,0,blank.png,0,0,B,,,,,0,1,1,1,,,,,,,None,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,0,blank.png,0,0,B,,,,,0,2,2,2,,,,,,,None,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,0,blank.png,0,0,B,,,,,0,3,3,3,,,,,,,None,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
0,0,blank.png,0,0,B,,,,,0,4,4,4,,,,,,,None,,,,1,3,001,H,119.977612538,visual,2017_Oct_24_1405,
