"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","cond","targ","key_press"
"-1000","","single-audio","80","205330","0.0-13.0-67.0","lang2","pi","-1"
"-1000","","single-audio","81","205813","0.0-13.0-68.0","lang2","pi","-1"
"-1000","","single-audio","82","206297","0.0-13.0-69.0","lang2","pi","-1"
"225.07936507938098","","single-audio","83","206644","0.0-13.0-70.0","lang2","pi","37"
"-1000","","single-audio","84","207307","0.0-13.0-71.0","lang2","pi","-1"
"-1000","","single-audio","85","207789","0.0-13.0-72.0","lang2","pi","-1"
"-1000","","single-audio","86","208314","0.0-13.0-73.0","lang2","pi","-1"
"-1000","","single-audio","87","209782","0.0-13.0-74.0","lang2","pi","-1"
"-1000","","single-audio","88","210266","0.0-13.0-75.0","lang2","pi","-1"
"-1000","","single-audio","89","210748","0.0-13.0-76.0","lang2","pi","-1"
"339.72789115645696","","single-audio","90","211218","0.0-13.0-77.0","lang2","pi","39"
"-1000","","single-audio","91","211881","0.0-13.0-78.0","lang2","pi","-1"
"-1000","","single-audio","92","212363","0.0-13.0-79.0","lang2","pi","-1"
"-1000","","single-audio","93","212845","0.0-13.0-80.0","lang2","pi","-1"
"-1000","","single-audio","94","214315","0.0-13.0-81.0","lang2","pi","-1"
"-1000","","single-audio","95","214797","0.0-13.0-82.0","lang2","pi","-1"
"-1000","","single-audio","96","215279","0.0-13.0-83.0","lang2","pi","-1"
"5365.396825396829","","single-audio","97","220889","0.0-13.0-84.0","lang2","pi","39"
"-1000","","single-audio","98","221559","0.0-13.0-85.0","lang2","pi","-1"
"-1000","","single-audio","99","222049","0.0-13.0-86.0","lang2","pi","-1"
"-1000","","single-audio","100","222531","0.0-13.0-87.0","lang2","pi","-1"
"-1000","","single-audio","101","223994","0.0-13.0-88.0","lang2","pi","-1"
"-1000","","single-audio","102","224511","0.0-13.0-89.0","lang2","pi","-1"
"-1000","","single-audio","103","224993","0.0-13.0-90.0","lang2","pi","-1"
"3644.2176870748144","","single-audio","104","228789","0.0-13.0-91.0","lang2","pi","39"
"-1000","","single-audio","105","229456","0.0-13.0-92.0","lang2","pi","-1"
"-1000","","single-audio","106","229938","0.0-13.0-93.0","lang2","pi","-1"
"-1000","","single-audio","107","230422","0.0-13.0-94.0","lang2","pi","-1"
"-1000","","single-audio","108","231887","0.0-13.0-95.0","lang2","pi","-1"
"-1000","","single-audio","109","232382","0.0-13.0-96.0","lang2","pi","-1"
"-1000","","single-audio","110","232864","0.0-13.0-97.0","lang2","pi","-1"
"397.777777777776","","single-audio","111","233390","0.0-13.0-98.0","lang2","pi","37"
"-1000","","single-audio","112","234052","0.0-13.0-99.0","lang2","pi","-1"
