"","image","trialnum","condition","l_block_trial_key_resp.keys","l_block_trial_key_resp.rt","v_block_trial_key_resp.keys","v_block_trial_key_resp.rt","vtarget","Run","PartID","ltarget","expName"
"220","Alien8.bmp",76,"R","",NA,"None",NA,3,1,12,"h","visual"
"221","Alien8.bmp",77,"R","",NA,"None",NA,3,1,12,"h","visual"
"222","Alien3.bmp",78,"R","",NA,"3",0.491900880326,3,1,12,"h","visual"
"223","Alien10.bmp",79,"R","",NA,"None",NA,3,1,12,"h","visual"
"224","Alien11.bmp",80,"R","",NA,"None",NA,3,1,12,"h","visual"
"225","Alien3.bmp",81,"R","",NA,"3",0.616938818057,3,1,12,"h","visual"
"226","Alien2.bmp",82,"R","",NA,"None",NA,3,1,12,"h","visual"
"227","Alien4.bmp",83,"R","",NA,"None",NA,3,1,12,"h","visual"
"228","Alien6.bmp",84,"R","",NA,"None",NA,3,1,12,"h","visual"
"229","Alien11.bmp",85,"R","",NA,"None",NA,3,1,12,"h","visual"
"230","Alien9.bmp",86,"R","",NA,"None",NA,3,1,12,"h","visual"
"231","Alien9.bmp",87,"R","",NA,"None",NA,3,1,12,"h","visual"
"232","Alien7.bmp",88,"R","",NA,"None",NA,3,1,12,"h","visual"
"233","Alien12.bmp",89,"R","",NA,"None",NA,3,1,12,"h","visual"
"234","Alien1.bmp",90,"R","",NA,"None",NA,3,1,12,"h","visual"
"235","Alien4.bmp",91,"R","",NA,"None",NA,3,1,12,"h","visual"
"236","Alien10.bmp",92,"R","",NA,"None",NA,3,1,12,"h","visual"
"237","Alien12.bmp",93,"R","",NA,"None",NA,3,1,12,"h","visual"
"238","Alien5.bmp",94,"R","",NA,"None",NA,3,1,12,"h","visual"
"239","Alien5.bmp",95,"R","",NA,"None",NA,3,1,12,"h","visual"
"240","Alien1.bmp",96,"R","",NA,"None",NA,3,1,12,"h","visual"
"241","M.png",97,"S","None",NA,"",NA,3,1,12,"h","visual"
"242","K.png",98,"S","None",NA,"",NA,3,1,12,"h","visual"
"243","B.png",99,"S","None",NA,"",NA,3,1,12,"h","visual"
"244","A.png",100,"S","None",NA,"",NA,3,1,12,"h","visual"
"245","J.png",101,"S","None",NA,"",NA,3,1,12,"h","visual"
"246","F.png",102,"S","None",NA,"",NA,3,1,12,"h","visual"
"247","E.png",103,"S","None",NA,"",NA,3,1,12,"h","visual"
"248","L.png",104,"S","None",NA,"",NA,3,1,12,"h","visual"
"249","H.png",105,"S","3",0.455821134703,"",NA,3,1,12,"h","visual"
"250","D.png",106,"S","None",NA,"",NA,3,1,12,"h","visual"
"251","G.png",107,"S","None",NA,"",NA,3,1,12,"h","visual"
"252","C.png",108,"S","None",NA,"",NA,3,1,12,"h","visual"
"253","A.png",109,"S","None",NA,"",NA,3,1,12,"h","visual"
"254","J.png",110,"S","None",NA,"",NA,3,1,12,"h","visual"
"255","F.png",111,"S","None",NA,"",NA,3,1,12,"h","visual"
"256","M.png",112,"S","None",NA,"",NA,3,1,12,"h","visual"
"257","K.png",113,"S","None",NA,"",NA,3,1,12,"h","visual"
"258","B.png",114,"S","None",NA,"",NA,3,1,12,"h","visual"
"259","D.png",115,"S","None",NA,"",NA,3,1,12,"h","visual"
"260","G.png",116,"S","None",NA,"",NA,3,1,12,"h","visual"
"261","C.png",117,"S","None",NA,"",NA,3,1,12,"h","visual"
"262","E.png",118,"S","None",NA,"",NA,3,1,12,"h","visual"
"263","L.png",119,"S","None",NA,"",NA,3,1,12,"h","visual"
"264","H.png",120,"S","3",0.589657782431,"",NA,3,1,12,"h","visual"
